source,target,lr_pair,sum_count,interaction_key
endothelial cell,Tumor,DLL4_NOTCH2,897,endothelial cell_Tumor_DLL4_NOTCH2
pericyte,pericyte,COL4A2_CD44,895,pericyte_pericyte_COL4A2_CD44
endothelial cell,Tumor,THY1_ADGRE5,893,endothelial cell_Tumor_THY1_ADGRE5
endothelial cell,pericyte,PROS1_AXL,893,endothelial cell_pericyte_PROS1_AXL
pericyte,endothelial cell,PECAM1_PECAM1,883,pericyte_endothelial cell_PECAM1_PECAM1
endothelial cell,pericyte,SDC2_ADGRA2,881,endothelial cell_pericyte_SDC2_ADGRA2
endothelial cell,endothelial cell,JAG1_NOTCH3,879,endothelial cell_endothelial cell_JAG1_NOTCH3
endothelial cell,endothelial cell,JAM2_JAM3,875,endothelial cell_endothelial cell_JAM2_JAM3
pericyte,macrophage,COL4A1_CD44,873,pericyte_macrophage_COL4A1_CD44
pericyte,macrophage,COL4A2_CD44,873,pericyte_macrophage_COL4A2_CD44
endothelial cell,pericyte,CD99_CD99,865,endothelial cell_pericyte_CD99_CD99
endothelial cell,muscle cell,JAG1_NOTCH2,864,endothelial cell_muscle cell_JAG1_NOTCH2
endothelial cell,Tumor,MPZL1_MPZL1,863,endothelial cell_Tumor_MPZL1_MPZL1
endothelial cell,pericyte,PTPRM_PTPRM,861,endothelial cell_pericyte_PTPRM_PTPRM
endothelial cell,muscle cell,PDGFB_PDGFRB,855,endothelial cell_muscle cell_PDGFB_PDGFRB
endothelial cell,pericyte,JAM3_JAM3,854,endothelial cell_pericyte_JAM3_JAM3
endothelial cell,Tumor,CD99_CD99,850,endothelial cell_Tumor_CD99_CD99
endothelial cell,macrophage,PROS1_AXL,847,endothelial cell_macrophage_PROS1_AXL
pericyte,endothelial cell,SDC2_ADGRA2,844,pericyte_endothelial cell_SDC2_ADGRA2
endothelial cell,endothelial cell,THBS1_CD36,843,endothelial cell_endothelial cell_THBS1_CD36
endothelial cell,endothelial cell,SDC2_ADGRA2,841,endothelial cell_endothelial cell_SDC2_ADGRA2
endothelial cell,pericyte,VEGFC_VEGFR2,835,endothelial cell_pericyte_VEGFC_VEGFR2
pericyte,pericyte,PECAM1_PECAM1,834,pericyte_pericyte_PECAM1_PECAM1
endothelial cell,Tumor,EFNB2_EPHB4,826,endothelial cell_Tumor_EFNB2_EPHB4
endothelial cell,pericyte,GAS6_AXL,820,endothelial cell_pericyte_GAS6_AXL
pericyte,pericyte,CD46_JAG1,818,pericyte_pericyte_CD46_JAG1
endothelial cell,endothelial cell,DLL4_NOTCH3,811,endothelial cell_endothelial cell_DLL4_NOTCH3
endothelial cell,muscle cell,COL4A1_CD44,803,endothelial cell_muscle cell_COL4A1_CD44
endothelial cell,muscle cell,COL4A2_CD44,798,endothelial cell_muscle cell_COL4A2_CD44
endothelial cell,endothelial cell,LGALS9_P4HB,794,endothelial cell_endothelial cell_LGALS9_P4HB
pericyte,Tumor,JAG1_NOTCH2,793,pericyte_Tumor_JAG1_NOTCH2
endothelial cell,pericyte,HSPG2_DAG1,792,endothelial cell_pericyte_HSPG2_DAG1
pericyte,macrophage,LAMC1_CD44,784,pericyte_macrophage_LAMC1_CD44
endothelial cell,pericyte,PDGFA_PDGFRB,784,endothelial cell_pericyte_PDGFA_PDGFRB
endothelial cell,muscle cell,DLL4_NOTCH3,784,endothelial cell_muscle cell_DLL4_NOTCH3
endothelial cell,pericyte,APP_TNFRSF21,779,endothelial cell_pericyte_APP_TNFRSF21
pericyte,Tumor,LAMC1_DAG1,779,pericyte_Tumor_LAMC1_DAG1
endothelial cell,endothelial cell,ADM_CALCRL,775,endothelial cell_endothelial cell_ADM_CALCRL
endothelial cell,muscle cell,DLL4_NOTCH2,769,endothelial cell_muscle cell_DLL4_NOTCH2
pericyte,macrophage,JAG1_NOTCH2,761,pericyte_macrophage_JAG1_NOTCH2
pericyte,endothelial cell,CD46_JAG1,758,pericyte_endothelial cell_CD46_JAG1
endothelial cell,fat cell,COL4A2_CD44,755,endothelial cell_fat cell_COL4A2_CD44
endothelial cell,fat cell,COL4A1_CD44,755,endothelial cell_fat cell_COL4A1_CD44
endothelial cell,endothelial cell,MPZL1_MPZL1,751,endothelial cell_endothelial cell_MPZL1_MPZL1
pericyte,endothelial cell,ANGPT2_TEK,751,pericyte_endothelial cell_ANGPT2_TEK
endothelial cell,endothelial cell,HSPG2_DAG1,751,endothelial cell_endothelial cell_HSPG2_DAG1
pericyte,macrophage,PECAM1_PECAM1,750,pericyte_macrophage_PECAM1_PECAM1
endothelial cell,macrophage,CD99_PILRA,744,endothelial cell_macrophage_CD99_PILRA
Tumor,Tumor,PROS1_AXL,740,Tumor_Tumor_PROS1_AXL
pericyte,Tumor,THY1_ADGRE5,739,pericyte_Tumor_THY1_ADGRE5
endothelial cell,muscle cell,SEMA4C_PLXNB2,739,endothelial cell_muscle cell_SEMA4C_PLXNB2
endothelial cell,endothelial cell,PDGFA_PDGFRB,737,endothelial cell_endothelial cell_PDGFA_PDGFRB
endothelial cell,endothelial cell,THBS1_CD47,734,endothelial cell_endothelial cell_THBS1_CD47
pericyte,pericyte,GJC1_GJC1,729,pericyte_pericyte_GJC1_GJC1
pericyte,endothelial cell,JAM3_F11R,723,pericyte_endothelial cell_JAM3_F11R
endothelial cell,macrophage,THY1_ADGRE5,721,endothelial cell_macrophage_THY1_ADGRE5
endothelial cell,neutrophil,COL4A1_CD44,720,endothelial cell_neutrophil_COL4A1_CD44
endothelial cell,neutrophil,COL4A2_CD44,719,endothelial cell_neutrophil_COL4A2_CD44
endothelial cell,Tumor,COL4A2_CD44,717,endothelial cell_Tumor_COL4A2_CD44
endothelial cell,Tumor,COL4A1_CD44,717,endothelial cell_Tumor_COL4A1_CD44
pericyte,pericyte,LAMC1_CD44,711,pericyte_pericyte_LAMC1_CD44
Tumor,pericyte,CD46_JAG1,711,Tumor_pericyte_CD46_JAG1
Tumor,Tumor,SEMA4C_PLXNB2,710,Tumor_Tumor_SEMA4C_PLXNB2
pericyte,endothelial cell,PDGFA_PDGFRB,709,pericyte_endothelial cell_PDGFA_PDGFRB
pericyte,pericyte,JAM3_JAM3,707,pericyte_pericyte_JAM3_JAM3
endothelial cell,endothelial cell,ANGPT2_TEK,707,endothelial cell_endothelial cell_ANGPT2_TEK
endothelial cell,pericyte,JAM2_JAM3,705,endothelial cell_pericyte_JAM2_JAM3
pericyte,macrophage,GAS6_MERTK,701,pericyte_macrophage_GAS6_MERTK
endothelial cell,fat cell,JAG1_NOTCH2,701,endothelial cell_fat cell_JAG1_NOTCH2
endothelial cell,muscle cell,LAMC1_CD44,701,endothelial cell_muscle cell_LAMC1_CD44
pericyte,endothelial cell,GJC1_GJA1,700,pericyte_endothelial cell_GJC1_GJA1
pericyte,pericyte,THY1_ADGRE5,699,pericyte_pericyte_THY1_ADGRE5
pericyte,macrophage,THBS1_CD47,696,pericyte_macrophage_THBS1_CD47
endothelial cell,pericyte,THBS1_CD36,695,endothelial cell_pericyte_THBS1_CD36
Tumor,pericyte,PROS1_AXL,694,Tumor_pericyte_PROS1_AXL
pericyte,Tumor,HSPG2_DAG1,693,pericyte_Tumor_HSPG2_DAG1
endothelial cell,fat cell,PDGFB_PDGFRB,691,endothelial cell_fat cell_PDGFB_PDGFRB
endothelial cell,macrophage,CCL14_CCR1,690,endothelial cell_macrophage_CCL14_CCR1
endothelial cell,macrophage,GAS6_AXL,686,endothelial cell_macrophage_GAS6_AXL
pericyte,endothelial cell,PTPRM_PTPRM,681,pericyte_endothelial cell_PTPRM_PTPRM
Tumor,endothelial cell,CD46_JAG1,680,Tumor_endothelial cell_CD46_JAG1
pericyte,muscle cell,JAG1_NOTCH3,678,pericyte_muscle cell_JAG1_NOTCH3
pericyte,endothelial cell,JAM3_JAM3,675,pericyte_endothelial cell_JAM3_JAM3
pericyte,macrophage,THY1_ADGRE5,672,pericyte_macrophage_THY1_ADGRE5
endothelial cell,Tumor,LGALS9_P4HB,671,endothelial cell_Tumor_LGALS9_P4HB
endothelial cell,macrophage,THY1_ADGRE2,670,endothelial cell_macrophage_THY1_ADGRE2
endothelial cell,pericyte,LGALS9_P4HB,664,endothelial cell_pericyte_LGALS9_P4HB
endothelial cell,endothelial cell,CD34_SELP,662,endothelial cell_endothelial cell_CD34_SELP
macrophage,macrophage,PECAM1_PECAM1,654,macrophage_macrophage_PECAM1_PECAM1
Tumor,Tumor,CD99_CD99,653,Tumor_Tumor_CD99_CD99
endothelial cell,muscle cell,CD46_JAG1,653,endothelial cell_muscle cell_CD46_JAG1
pericyte,endothelial cell,CD99_CD99,653,pericyte_endothelial cell_CD99_CD99
endothelial cell,neutrophil,PECAM1_PECAM1,647,endothelial cell_neutrophil_PECAM1_PECAM1
endothelial cell,macrophage,JAM3_F11R,644,endothelial cell_macrophage_JAM3_F11R
muscle cell,macrophage,COL4A1_CD44,644,muscle cell_macrophage_COL4A1_CD44
pericyte,macrophage,ANGPTL2_TLR4,642,pericyte_macrophage_ANGPTL2_TLR4
endothelial cell,fat cell,PECAM1_PECAM1,642,endothelial cell_fat cell_PECAM1_PECAM1
pericyte,muscle cell,JAG1_NOTCH2,640,pericyte_muscle cell_JAG1_NOTCH2
endothelial cell,pericyte,THY1_ADGRE5,638,endothelial cell_pericyte_THY1_ADGRE5
Tumor,Tumor,F11R_F11R,637,Tumor_Tumor_F11R_F11R
macrophage,macrophage,PLAU_PLAUR,636,macrophage_macrophage_PLAU_PLAUR
endothelial cell,endothelial cell,ANGPTL2_TLR4,632,endothelial cell_endothelial cell_ANGPTL2_TLR4
endothelial cell,dendritic cell,COL4A2_CD44,630,endothelial cell_dendritic cell_COL4A2_CD44
endothelial cell,dendritic cell,COL4A1_CD44,630,endothelial cell_dendritic cell_COL4A1_CD44
endothelial cell,neutrophil,LAMC1_CD44,627,endothelial cell_neutrophil_LAMC1_CD44
endothelial cell,fat cell,DLL4_NOTCH2,627,endothelial cell_fat cell_DLL4_NOTCH2
pericyte,pericyte,GAS6_AXL,625,pericyte_pericyte_GAS6_AXL
endothelial cell,pericyte,THBS1_CD47,624,endothelial cell_pericyte_THBS1_CD47
endothelial cell,pericyte,LGALS9_CD44,623,endothelial cell_pericyte_LGALS9_CD44
endothelial cell,pericyte,GRN_SORT1,620,endothelial cell_pericyte_GRN_SORT1
endothelial cell,Tumor,F11R_F11R,620,endothelial cell_Tumor_F11R_F11R
endothelial cell,fat cell,LAMC1_CD44,618,endothelial cell_fat cell_LAMC1_CD44
endothelial cell,macrophage,APP_TNFRSF21,618,endothelial cell_macrophage_APP_TNFRSF21
endothelial cell,macrophage,F11R_F11R,618,endothelial cell_macrophage_F11R_F11R
endothelial cell,mast cell,PECAM1_PECAM1,617,endothelial cell_mast cell_PECAM1_PECAM1
macrophage,macrophage,LGALS9_CD44,614,macrophage_macrophage_LGALS9_CD44
endothelial cell,Tumor,LAMC1_CD44,612,endothelial cell_Tumor_LAMC1_CD44
endothelial cell,neutrophil,JAG1_NOTCH2,610,endothelial cell_neutrophil_JAG1_NOTCH2
pericyte,muscle cell,PDGFA_PDGFRB,607,pericyte_muscle cell_PDGFA_PDGFRB
pericyte,muscle cell,COL4A1_CD44,605,pericyte_muscle cell_COL4A1_CD44
pericyte,muscle cell,COL4A2_CD44,605,pericyte_muscle cell_COL4A2_CD44
endothelial cell,macrophage,LGALS9_HAVCR2,603,endothelial cell_macrophage_LGALS9_HAVCR2
endothelial cell,Tumor,THBS1_CD47,602,endothelial cell_Tumor_THBS1_CD47
macrophage,macrophage,LGALS9_P4HB,600,macrophage_macrophage_LGALS9_P4HB
pericyte,pericyte,APP_TNFRSF21,599,pericyte_pericyte_APP_TNFRSF21
endothelial cell,T cell,COL4A1_CD44,598,endothelial cell_T cell_COL4A1_CD44
endothelial cell,T cell,COL4A2_CD44,597,endothelial cell_T cell_COL4A2_CD44
muscle cell,macrophage,COL4A2_CD44,596,muscle cell_macrophage_COL4A2_CD44
endothelial cell,macrophage,JAM2_F11R,596,endothelial cell_macrophage_JAM2_F11R
endothelial cell,fat cell,SEMA4C_PLXNB2,593,endothelial cell_fat cell_SEMA4C_PLXNB2
pericyte,pericyte,PDGFB_PDGFRB,592,pericyte_pericyte_PDGFB_PDGFRB
Tumor,Tumor,GAS6_AXL,587,Tumor_Tumor_GAS6_AXL
Tumor,Tumor,LAMC1_CD44,585,Tumor_Tumor_LAMC1_CD44
pericyte,endothelial cell,JAG1_NOTCH3,583,pericyte_endothelial cell_JAG1_NOTCH3
pericyte,macrophage,CD99_PILRA,582,pericyte_macrophage_CD99_PILRA
pericyte,fat cell,COL4A1_CD44,580,pericyte_fat cell_COL4A1_CD44
pericyte,fat cell,COL4A2_CD44,580,pericyte_fat cell_COL4A2_CD44
macrophage,macrophage,LGALS9_HAVCR2,580,macrophage_macrophage_LGALS9_HAVCR2
endothelial cell,muscle cell,PDGFA_PDGFRB,578,endothelial cell_muscle cell_PDGFA_PDGFRB
endothelial cell,macrophage,LGALS9_P4HB,570,endothelial cell_macrophage_LGALS9_P4HB
endothelial cell,macrophage,LGALS9_CD44,570,endothelial cell_macrophage_LGALS9_CD44
endothelial cell,macrophage,CD99_CD99,570,endothelial cell_macrophage_CD99_CD99
endothelial cell,endothelial cell,COL4A2_CD44,569,endothelial cell_endothelial cell_COL4A2_CD44
endothelial cell,neutrophil,CXCL12_CXCR4,569,endothelial cell_neutrophil_CXCL12_CXCR4
muscle cell,pericyte,SDC2_ADGRA2,567,muscle cell_pericyte_SDC2_ADGRA2
Tumor,endothelial cell,MPZL1_MPZL1,565,Tumor_endothelial cell_MPZL1_MPZL1
Tumor,pericyte,PDGFB_PDGFRB,565,Tumor_pericyte_PDGFB_PDGFRB
endothelial cell,Tumor,JAG1_NOTCH1,565,endothelial cell_Tumor_JAG1_NOTCH1
pericyte,endothelial cell,CXCL12_ACKR3,564,pericyte_endothelial cell_CXCL12_ACKR3
endothelial cell,muscle cell,JAG1_NOTCH1,564,endothelial cell_muscle cell_JAG1_NOTCH1
pericyte,pericyte,PTPRM_PTPRM,564,pericyte_pericyte_PTPRM_PTPRM
endothelial cell,neutrophil,DLL4_NOTCH2,563,endothelial cell_neutrophil_DLL4_NOTCH2
