source,target,lr_pair,sum_count,interaction_key
fibroblast,endothelial cell,MPZL1_MPZL1,186,fibroblast_endothelial cell_MPZL1_MPZL1
Tumor,fibroblast,MPZL1_MPZL1,186,Tumor_fibroblast_MPZL1_MPZL1
fibroblast,pericyte,LAMC1_CD44,186,fibroblast_pericyte_LAMC1_CD44
Tumor,T cell,PVR_TIGIT,186,Tumor_T cell_PVR_TIGIT
Tumor,Tumor,GAS6_TYRO3,185,Tumor_Tumor_GAS6_TYRO3
Tumor,fibroblast,ANGPTL4_SDC2,185,Tumor_fibroblast_ANGPTL4_SDC2
muscle cell,monocyte,THY1_ADGRE2,185,muscle cell_monocyte_THY1_ADGRE2
endothelial cell,fibroblast,JAM3_JAM3,185,endothelial cell_fibroblast_JAM3_JAM3
pericyte,endothelial cell,CDH5_CDH5,185,pericyte_endothelial cell_CDH5_CDH5
fibroblast,macrophage,APP_SORL1,185,fibroblast_macrophage_APP_SORL1
mast cell,Tumor,HSPG2_DAG1,185,mast cell_Tumor_HSPG2_DAG1
fibroblast,monocyte,THY1_ADGRE5,184,fibroblast_monocyte_THY1_ADGRE5
dendritic cell,dendritic cell,COL4A2_CD44,184,dendritic cell_dendritic cell_COL4A2_CD44
pericyte,fibroblast,GJC1_GJA1,184,pericyte_fibroblast_GJC1_GJA1
muscle cell,endothelial cell,PDGFA_PDGFRB,184,muscle cell_endothelial cell_PDGFA_PDGFRB
fat cell,Tumor,COMP_SDC4,184,fat cell_Tumor_COMP_SDC4
fibroblast,pericyte,THBS2_CD36,184,fibroblast_pericyte_THBS2_CD36
fibroblast,Tumor,MPZL1_MPZL1,184,fibroblast_Tumor_MPZL1_MPZL1
endothelial cell,mast cell,THY1_ADGRE5,184,endothelial cell_mast cell_THY1_ADGRE5
muscle cell,T cell,CXCL12_CXCR4,183,muscle cell_T cell_CXCL12_CXCR4
macrophage,fibroblast,SEMA4D_PLXNB2,183,macrophage_fibroblast_SEMA4D_PLXNB2
endothelial cell,fibroblast,PTPRM_PTPRM,183,endothelial cell_fibroblast_PTPRM_PTPRM
mast cell,pericyte,THBS1_CD36,183,mast cell_pericyte_THBS1_CD36
fibroblast,Tumor,COMP_SDC4,183,fibroblast_Tumor_COMP_SDC4
pericyte,pericyte,CXCL12_ACKR3,183,pericyte_pericyte_CXCL12_ACKR3
dendritic cell,dendritic cell,PECAM1_PECAM1,183,dendritic cell_dendritic cell_PECAM1_PECAM1
fibroblast,Tumor,LAMC1_DAG1,182,fibroblast_Tumor_LAMC1_DAG1
mast cell,macrophage,PROS1_MERTK,182,mast cell_macrophage_PROS1_MERTK
T cell,neutrophil,SEMA4D_PLXNB2,182,T cell_neutrophil_SEMA4D_PLXNB2
muscle cell,neutrophil,PLAU_PLAUR,182,muscle cell_neutrophil_PLAU_PLAUR
macrophage,fibroblast,LGALS9_CD44,182,macrophage_fibroblast_LGALS9_CD44
neutrophil,pericyte,LGALS9_P4HB,182,neutrophil_pericyte_LGALS9_P4HB
macrophage,endothelial cell,CXCL12_ACKR3,182,macrophage_endothelial cell_CXCL12_ACKR3
macrophage,monocyte,PECAM1_PECAM1,182,macrophage_monocyte_PECAM1_PECAM1
pericyte,Tumor,GJC1_GJA1,182,pericyte_Tumor_GJC1_GJA1
fibroblast,muscle cell,JAG1_NOTCH3,181,fibroblast_muscle cell_JAG1_NOTCH3
fibroblast,B cell,COL4A1_CD44,181,fibroblast_B cell_COL4A1_CD44
endothelial cell,mast cell,PTPRM_PTPRM,181,endothelial cell_mast cell_PTPRM_PTPRM
Tumor,endothelial cell,COMP_CD36,181,Tumor_endothelial cell_COMP_CD36
B cell,endothelial cell,CD96_PVR,181,B cell_endothelial cell_CD96_PVR
dendritic cell,pericyte,APP_TNFRSF21,181,dendritic cell_pericyte_APP_TNFRSF21
Tumor,pericyte,GJC1_GJC1,180,Tumor_pericyte_GJC1_GJC1
endothelial cell,mast cell,JAM2_F11R,180,endothelial cell_mast cell_JAM2_F11R
macrophage,endothelial cell,ENTPD1_ADORA3,180,macrophage_endothelial cell_ENTPD1_ADORA3
fat cell,endothelial cell,JAM3_F11R,180,fat cell_endothelial cell_JAM3_F11R
pericyte,macrophage,JAG1_NOTCH1,180,pericyte_macrophage_JAG1_NOTCH1
pericyte,monocyte,THY1_ADGRE5,179,pericyte_monocyte_THY1_ADGRE5
fibroblast,muscle cell,PDGFC_PDGFRA,179,fibroblast_muscle cell_PDGFC_PDGFRA
fat cell,muscle cell,LAMC1_CD44,179,fat cell_muscle cell_LAMC1_CD44
Tumor,pericyte,THY1_ADGRE5,179,Tumor_pericyte_THY1_ADGRE5
macrophage,B cell,SEMA4D_PLXNB2,179,macrophage_B cell_SEMA4D_PLXNB2
fat cell,monocyte,CXCL12_CXCR4,179,fat cell_monocyte_CXCL12_CXCR4
dendritic cell,endothelial cell,CD99_CD99,179,dendritic cell_endothelial cell_CD99_CD99
fat cell,mast cell,COL4A2_CD44,178,fat cell_mast cell_COL4A2_CD44
fibroblast,T cell,THBS2_CD47,178,fibroblast_T cell_THBS2_CD47
pericyte,muscle cell,APP_TNFRSF21,178,pericyte_muscle cell_APP_TNFRSF21
mast cell,muscle cell,COL4A2_CD44,178,mast cell_muscle cell_COL4A2_CD44
endothelial cell,endothelial cell,CD55_ADGRE5,178,endothelial cell_endothelial cell_CD55_ADGRE5
pericyte,Tumor,CXCL12_ACKR3,178,pericyte_Tumor_CXCL12_ACKR3
macrophage,macrophage,CCL8_CCR1,178,macrophage_macrophage_CCL8_CCR1
muscle cell,fibroblast,THBS1_CD47,178,muscle cell_fibroblast_THBS1_CD47
T cell,macrophage,APP_TNFRSF21,177,T cell_macrophage_APP_TNFRSF21
endothelial cell,T cell,JAG1_NOTCH1,177,endothelial cell_T cell_JAG1_NOTCH1
pericyte,monocyte,CXCL12_CXCR4,177,pericyte_monocyte_CXCL12_CXCR4
Tumor,fibroblast,PDGFA_PDGFRB,177,Tumor_fibroblast_PDGFA_PDGFRB
pericyte,endothelial cell,VEGFC_VEGFR2R3,177,pericyte_endothelial cell_VEGFC_VEGFR2R3
pericyte,endothelial cell,VEGFC_VEGFR3,177,pericyte_endothelial cell_VEGFC_VEGFR3
Tumor,macrophage,F11R_F11R,177,Tumor_macrophage_F11R_F11R
endothelial cell,monocyte,JAM2_F11R,176,endothelial cell_monocyte_JAM2_F11R
fibroblast,fat cell,PDGFC_PDGFRA,176,fibroblast_fat cell_PDGFC_PDGFRA
macrophage,macrophage,IL16_CD4,176,macrophage_macrophage_IL16_CD4
fat cell,muscle cell,JAG1_NOTCH2,176,fat cell_muscle cell_JAG1_NOTCH2
pericyte,muscle cell,PROS1_AXL,176,pericyte_muscle cell_PROS1_AXL
muscle cell,natural killer cell,COL4A2_CD44,176,muscle cell_natural killer cell_COL4A2_CD44
endothelial cell,mast cell,CD46_JAG1,176,endothelial cell_mast cell_CD46_JAG1
fibroblast,fibroblast,PLAU_PLAUR,176,fibroblast_fibroblast_PLAU_PLAUR
endothelial cell,neutrophil,LGALS9_HAVCR2,176,endothelial cell_neutrophil_LGALS9_HAVCR2
fat cell,fat cell,SDC2_ADGRA2,176,fat cell_fat cell_SDC2_ADGRA2
fat cell,dendritic cell,PECAM1_PECAM1,176,fat cell_dendritic cell_PECAM1_PECAM1
dendritic cell,endothelial cell,WNT5A_MCAM,176,dendritic cell_endothelial cell_WNT5A_MCAM
Tumor,pericyte,LAMC2_CD44,176,Tumor_pericyte_LAMC2_CD44
dendritic cell,endothelial cell,WNT5A_FZD4,176,dendritic cell_endothelial cell_WNT5A_FZD4
pericyte,mast cell,THBS2_CD47,176,pericyte_mast cell_THBS2_CD47
dendritic cell,endothelial cell,THBS1_CD36,176,dendritic cell_endothelial cell_THBS1_CD36
fibroblast,T cell,COL4A2_CD44,175,fibroblast_T cell_COL4A2_CD44
dendritic cell,macrophage,IL16_CD4,175,dendritic cell_macrophage_IL16_CD4
muscle cell,mast cell,JAG1_NOTCH2,175,muscle cell_mast cell_JAG1_NOTCH2
fat cell,Tumor,COMP_CD47,175,fat cell_Tumor_COMP_CD47
Tumor,pericyte,VEGFA_VEGFR2,175,Tumor_pericyte_VEGFA_VEGFR2
muscle cell,endothelial cell,COL4A2_CD44,175,muscle cell_endothelial cell_COL4A2_CD44
muscle cell,macrophage,THBS2_CD36,175,muscle cell_macrophage_THBS2_CD36
fibroblast,macrophage,JAG1_NOTCH2,175,fibroblast_macrophage_JAG1_NOTCH2
endothelial cell,neutrophil,APP_TNFRSF21,174,endothelial cell_neutrophil_APP_TNFRSF21
fat cell,macrophage,PECAM1_CD38,174,fat cell_macrophage_PECAM1_CD38
fibroblast,endothelial cell,WNT5A_FZD6,174,fibroblast_endothelial cell_WNT5A_FZD6
Tumor,Tumor,CDH5_CDH5,174,Tumor_Tumor_CDH5_CDH5
fat cell,fat cell,GJA1_GJA1,174,fat cell_fat cell_GJA1_GJA1
fat cell,endothelial cell,JAM3_JAM3,174,fat cell_endothelial cell_JAM3_JAM3
pericyte,pericyte,CDH5_CDH5,174,pericyte_pericyte_CDH5_CDH5
macrophage,pericyte,THBS1_CD36,173,macrophage_pericyte_THBS1_CD36
mast cell,pericyte,GRN_SORT1,173,mast cell_pericyte_GRN_SORT1
mast cell,macrophage,THBS1_CD47,173,mast cell_macrophage_THBS1_CD47
Tumor,fat cell,PDGFC_PDGFRA,173,Tumor_fat cell_PDGFC_PDGFRA
pericyte,fat cell,CD46_JAG1,173,pericyte_fat cell_CD46_JAG1
endothelial cell,fat cell,PDGFD_PDGFRB,172,endothelial cell_fat cell_PDGFD_PDGFRB
endothelial cell,endothelial cell,GJA5_GJA5,172,endothelial cell_endothelial cell_GJA5_GJA5
muscle cell,endothelial cell,WNT5A_FZD6,172,muscle cell_endothelial cell_WNT5A_FZD6
Tumor,fibroblast,CD46_JAG1,172,Tumor_fibroblast_CD46_JAG1
endothelial cell,endothelial cell,PRNP_ADGRG6,172,endothelial cell_endothelial cell_PRNP_ADGRG6
neutrophil,endothelial cell,LGALS9_P4HB,172,neutrophil_endothelial cell_LGALS9_P4HB
pericyte,fibroblast,SEMA4C_PLXNB2,172,pericyte_fibroblast_SEMA4C_PLXNB2
fat cell,fat cell,JAG1_NOTCH2,172,fat cell_fat cell_JAG1_NOTCH2
endothelial cell,monocyte,CD99_PILRA,172,endothelial cell_monocyte_CD99_PILRA
endothelial cell,Tumor,ANGPTL2_TLR4,172,endothelial cell_Tumor_ANGPTL2_TLR4
fat cell,fibroblast,COL4A2_CD44,172,fat cell_fibroblast_COL4A2_CD44
dendritic cell,T cell,THY1_ADGRE5,172,dendritic cell_T cell_THY1_ADGRE5
B cell,muscle cell,SEMA4D_PLXNB2,172,B cell_muscle cell_SEMA4D_PLXNB2
neutrophil,fat cell,PECAM1_PECAM1,172,neutrophil_fat cell_PECAM1_PECAM1
endothelial cell,monocyte,CD55_ADGRE5,171,endothelial cell_monocyte_CD55_ADGRE5
fibroblast,B cell,THBS2_CD47,171,fibroblast_B cell_THBS2_CD47
fibroblast,endothelial cell,PTPRM_PTPRM,171,fibroblast_endothelial cell_PTPRM_PTPRM
endothelial cell,mast cell,GJA1_GJA1,171,endothelial cell_mast cell_GJA1_GJA1
endothelial cell,muscle cell,GJA1_GJA1,171,endothelial cell_muscle cell_GJA1_GJA1
fat cell,Tumor,APP_TNFRSF21,170,fat cell_Tumor_APP_TNFRSF21
fibroblast,monocyte,PLAU_PLAUR,170,fibroblast_monocyte_PLAU_PLAUR
pericyte,natural killer cell,CXCL12_CXCR4,170,pericyte_natural killer cell_CXCL12_CXCR4
mast cell,macrophage,APP_SORL1,170,mast cell_macrophage_APP_SORL1
Tumor,Tumor,COL4A2_CD44,170,Tumor_Tumor_COL4A2_CD44
T cell,fat cell,SEMA4D_PLXNB2,170,T cell_fat cell_SEMA4D_PLXNB2
fat cell,mast cell,THBS1_CD47,170,fat cell_mast cell_THBS1_CD47
Tumor,endothelial cell,PTPRM_PTPRM,170,Tumor_endothelial cell_PTPRM_PTPRM
endothelial cell,fibroblast,SDC2_ADGRA2,169,endothelial cell_fibroblast_SDC2_ADGRA2
muscle cell,fat cell,JAG1_NOTCH3,169,muscle cell_fat cell_JAG1_NOTCH3
neutrophil,endothelial cell,THBS1_CD36,169,neutrophil_endothelial cell_THBS1_CD36
mast cell,B cell,COL4A1_CD44,169,mast cell_B cell_COL4A1_CD44
pericyte,dendritic cell,PLAU_PLAUR,169,pericyte_dendritic cell_PLAU_PLAUR
fat cell,fibroblast,PLAU_PLAUR,169,fat cell_fibroblast_PLAU_PLAUR
mast cell,fat cell,COL4A2_CD44,169,mast cell_fat cell_COL4A2_CD44
macrophage,Tumor,TNFSF12_TNFRSF12A,169,macrophage_Tumor_TNFSF12_TNFRSF12A
pericyte,endothelial cell,APP_TNFRSF21,169,pericyte_endothelial cell_APP_TNFRSF21
muscle cell,muscle cell,PLAU_PLAUR,168,muscle cell_muscle cell_PLAU_PLAUR
Tumor,T cell,ICAM1_ITGAL,168,Tumor_T cell_ICAM1_ITGAL
dendritic cell,macrophage,LAMC1_CD44,168,dendritic cell_macrophage_LAMC1_CD44
fibroblast,muscle cell,PLAU_PLAUR,168,fibroblast_muscle cell_PLAU_PLAUR
muscle cell,muscle cell,GAS6_AXL,168,muscle cell_muscle cell_GAS6_AXL
macrophage,macrophage,COL4A1_CD44,168,macrophage_macrophage_COL4A1_CD44
T cell,mast cell,SEMA4D_PLXNB2,168,T cell_mast cell_SEMA4D_PLXNB2
pericyte,fibroblast,CD99_CD99,168,pericyte_fibroblast_CD99_CD99
neutrophil,mast cell,PECAM1_PECAM1,168,neutrophil_mast cell_PECAM1_PECAM1
mast cell,macrophage,CD99_CD99,167,mast cell_macrophage_CD99_CD99
neutrophil,pericyte,THBS1_CD36,167,neutrophil_pericyte_THBS1_CD36
neutrophil,T cell,LGALS9_CD44,167,neutrophil_T cell_LGALS9_CD44
muscle cell,muscle cell,JAM3_JAM3,167,muscle cell_muscle cell_JAM3_JAM3
mast cell,dendritic cell,COL4A1_CD44,167,mast cell_dendritic cell_COL4A1_CD44
endothelial cell,muscle cell,PTPRM_PTPRM,166,endothelial cell_muscle cell_PTPRM_PTPRM
fibroblast,mast cell,THBS2_CD47,166,fibroblast_mast cell_THBS2_CD47
Tumor,Tumor,GRN_SORT1,166,Tumor_Tumor_GRN_SORT1
pericyte,dendritic cell,SEMA4C_PLXNB2,166,pericyte_dendritic cell_SEMA4C_PLXNB2
Tumor,macrophage,THY1_ADGRE5,166,Tumor_macrophage_THY1_ADGRE5
endothelial cell,mast cell,CDH5_CDH5,166,endothelial cell_mast cell_CDH5_CDH5
muscle cell,B cell,CXCL12_CXCR4,166,muscle cell_B cell_CXCL12_CXCR4
endothelial cell,pericyte,SELE_CD44,166,endothelial cell_pericyte_SELE_CD44
monocyte,macrophage,PECAM1_PECAM1,166,monocyte_macrophage_PECAM1_PECAM1
fibroblast,fat cell,CD99_CD99,166,fibroblast_fat cell_CD99_CD99
pericyte,fat cell,PLAU_PLAUR,165,pericyte_fat cell_PLAU_PLAUR
Tumor,macrophage,PLAU_PLAUR,165,Tumor_macrophage_PLAU_PLAUR
endothelial cell,neutrophil,IGF2_IGF2R,165,endothelial cell_neutrophil_IGF2_IGF2R
fibroblast,muscle cell,JAG1_NOTCH2,165,fibroblast_muscle cell_JAG1_NOTCH2
dendritic cell,muscle cell,LGALS9_P4HB,165,dendritic cell_muscle cell_LGALS9_P4HB
Tumor,endothelial cell,WNT5A_MCAM,165,Tumor_endothelial cell_WNT5A_MCAM
Tumor,endothelial cell,WNT5A_FZD4,165,Tumor_endothelial cell_WNT5A_FZD4
endothelial cell,neutrophil,CD55_ADGRE5,165,endothelial cell_neutrophil_CD55_ADGRE5
endothelial cell,B cell,ICAM1_ITGAL,165,endothelial cell_B cell_ICAM1_ITGAL
fibroblast,fibroblast,COL4A1_CD44,165,fibroblast_fibroblast_COL4A1_CD44
Tumor,macrophage,COL4A1_CD44,165,Tumor_macrophage_COL4A1_CD44
muscle cell,neutrophil,CXCL12_CXCR4,165,muscle cell_neutrophil_CXCL12_CXCR4
muscle cell,Tumor,JAG1_NOTCH3,165,muscle cell_Tumor_JAG1_NOTCH3
macrophage,fibroblast,PLAU_PLAUR,165,macrophage_fibroblast_PLAU_PLAUR
endothelial cell,Tumor,CXCL12_CXCR4,165,endothelial cell_Tumor_CXCL12_CXCR4
Tumor,T cell,CD70_CD27,164,Tumor_T cell_CD70_CD27
macrophage,muscle cell,PLAU_PLAUR,164,macrophage_muscle cell_PLAU_PLAUR
mast cell,macrophage,PECAM1_CD38,164,mast cell_macrophage_PECAM1_CD38
pericyte,fibroblast,CD46_JAG1,164,pericyte_fibroblast_CD46_JAG1
endothelial cell,monocyte,IGF2_IGF2R,164,endothelial cell_monocyte_IGF2_IGF2R
Tumor,fat cell,PDGFA_PDGFRB,164,Tumor_fat cell_PDGFA_PDGFRB
Tumor,fibroblast,NCAM1_FGFR1,164,Tumor_fibroblast_NCAM1_FGFR1
B cell,pericyte,GZMA_F2R,164,B cell_pericyte_GZMA_F2R
neutrophil,macrophage,PECAM1_CD38,164,neutrophil_macrophage_PECAM1_CD38
endothelial cell,mast cell,PLAU_PLAUR,164,endothelial cell_mast cell_PLAU_PLAUR
muscle cell,Tumor,PLAU_PLAUR,164,muscle cell_Tumor_PLAU_PLAUR
neutrophil,neutrophil,LGALS9_CD44,164,neutrophil_neutrophil_LGALS9_CD44
fat cell,neutrophil,LAMC1_CD44,163,fat cell_neutrophil_LAMC1_CD44
fibroblast,monocyte,CXCL12_CXCR4,163,fibroblast_monocyte_CXCL12_CXCR4
fibroblast,Tumor,JAG1_NOTCH2,163,fibroblast_Tumor_JAG1_NOTCH2
fat cell,fat cell,PDGFC_PDGFRA,163,fat cell_fat cell_PDGFC_PDGFRA
macrophage,neutrophil,CXCL12_CXCR4,162,macrophage_neutrophil_CXCL12_CXCR4
endothelial cell,endothelial cell,GJA1_GJA5,162,endothelial cell_endothelial cell_GJA1_GJA5
Tumor,pericyte,PDGFB_PDGFRA,162,Tumor_pericyte_PDGFB_PDGFRA
muscle cell,fibroblast,PLAU_PLAUR,162,muscle cell_fibroblast_PLAU_PLAUR
macrophage,endothelial cell,ADM_CALCRL,162,macrophage_endothelial cell_ADM_CALCRL
pericyte,Tumor,TNFSF12_TNFRSF12A,161,pericyte_Tumor_TNFSF12_TNFRSF12A
endothelial cell,neutrophil,DLL1_NOTCH1,161,endothelial cell_neutrophil_DLL1_NOTCH1
neutrophil,macrophage,F11R_F11R,161,neutrophil_macrophage_F11R_F11R
dendritic cell,muscle cell,LGALS9_CD44,161,dendritic cell_muscle cell_LGALS9_CD44
macrophage,pericyte,ENTPD1_ADORA3,161,macrophage_pericyte_ENTPD1_ADORA3
endothelial cell,muscle cell,THBS1_CD36,161,endothelial cell_muscle cell_THBS1_CD36
endothelial cell,fibroblast,IGF2_IGF2R,161,endothelial cell_fibroblast_IGF2_IGF2R
fibroblast,dendritic cell,PLAU_PLAUR,161,fibroblast_dendritic cell_PLAU_PLAUR
endothelial cell,Tumor,SELE_CEACAM1,161,endothelial cell_Tumor_SELE_CEACAM1
fat cell,fibroblast,COL4A1_CD44,161,fat cell_fibroblast_COL4A1_CD44
pericyte,fat cell,JAM3_JAM3,161,pericyte_fat cell_JAM3_JAM3
fibroblast,endothelial cell,JAM3_JAM3,161,fibroblast_endothelial cell_JAM3_JAM3
fibroblast,endothelial cell,JAM3_F11R,161,fibroblast_endothelial cell_JAM3_F11R
fat cell,pericyte,COMP_CD47,161,fat cell_pericyte_COMP_CD47
pericyte,neutrophil,PLAU_PLAUR,161,pericyte_neutrophil_PLAU_PLAUR
fibroblast,fibroblast,COL4A2_CD44,161,fibroblast_fibroblast_COL4A2_CD44
fibroblast,B cell,COL4A2_CD44,161,fibroblast_B cell_COL4A2_CD44
endothelial cell,B cell,SEMA4C_PLXNB2,161,endothelial cell_B cell_SEMA4C_PLXNB2
endothelial cell,monocyte,PLAU_PLAUR,161,endothelial cell_monocyte_PLAU_PLAUR
endothelial cell,B cell,PECAM1_CD38,161,endothelial cell_B cell_PECAM1_CD38
endothelial cell,mast cell,VEGFC_VEGFR2R3,161,endothelial cell_mast cell_VEGFC_VEGFR2R3
pericyte,natural killer cell,LAMC1_CD44,160,pericyte_natural killer cell_LAMC1_CD44
T cell,endothelial cell,CD46_JAG1,160,T cell_endothelial cell_CD46_JAG1
endothelial cell,neutrophil,PDGFB_PDGFRB,160,endothelial cell_neutrophil_PDGFB_PDGFRB
fibroblast,muscle cell,WNT5A_MCAM,160,fibroblast_muscle cell_WNT5A_MCAM
dendritic cell,muscle cell,SDC2_ADGRA2,160,dendritic cell_muscle cell_SDC2_ADGRA2
fat cell,monocyte,THY1_ADGRE5,160,fat cell_monocyte_THY1_ADGRE5
pericyte,endothelial cell,CXCL12_CXCR4,160,pericyte_endothelial cell_CXCL12_CXCR4
neutrophil,T cell,COL4A1_CD44,160,neutrophil_T cell_COL4A1_CD44
endothelial cell,natural killer cell,LGALS9_CD44,159,endothelial cell_natural killer cell_LGALS9_CD44
neutrophil,neutrophil,PLAU_PLAUR,159,neutrophil_neutrophil_PLAU_PLAUR
dendritic cell,macrophage,GAS6_AXL,159,dendritic cell_macrophage_GAS6_AXL
pericyte,neutrophil,SEMA4C_PLXNB2,159,pericyte_neutrophil_SEMA4C_PLXNB2
pericyte,fibroblast,THBS1_CD47,159,pericyte_fibroblast_THBS1_CD47
pericyte,Tumor,PDGFB_PDGFRA,159,pericyte_Tumor_PDGFB_PDGFRA
muscle cell,pericyte,MPZL1_MPZL1,158,muscle cell_pericyte_MPZL1_MPZL1
fat cell,muscle cell,PDGFC_PDGFRA,158,fat cell_muscle cell_PDGFC_PDGFRA
Tumor,Tumor,JAM2_JAM2,158,Tumor_Tumor_JAM2_JAM2
macrophage,macrophage,PROS1_MERTK,158,macrophage_macrophage_PROS1_MERTK
neutrophil,endothelial cell,F11R_F11R,158,neutrophil_endothelial cell_F11R_F11R
Tumor,endothelial cell,PDGFA_PDGFRB,158,Tumor_endothelial cell_PDGFA_PDGFRB
Tumor,fat cell,NCAM1_FGFR1,158,Tumor_fat cell_NCAM1_FGFR1
fibroblast,fat cell,COMP_CD47,157,fibroblast_fat cell_COMP_CD47
fat cell,endothelial cell,JAG1_NOTCH3,157,fat cell_endothelial cell_JAG1_NOTCH3
mast cell,endothelial cell,JAG1_NOTCH4,157,mast cell_endothelial cell_JAG1_NOTCH4
pericyte,endothelial cell,LAMC1_DAG1,157,pericyte_endothelial cell_LAMC1_DAG1
Tumor,mast cell,LAMC1_CD44,157,Tumor_mast cell_LAMC1_CD44
muscle cell,mast cell,CD99_CD99,157,muscle cell_mast cell_CD99_CD99
fat cell,endothelial cell,PTPRM_PTPRM,156,fat cell_endothelial cell_PTPRM_PTPRM
endothelial cell,Tumor,EFNB2_EPHB2,156,endothelial cell_Tumor_EFNB2_EPHB2
Tumor,muscle cell,LAMC2_CD44,156,Tumor_muscle cell_LAMC2_CD44
endothelial cell,neutrophil,PROS1_AXL,156,endothelial cell_neutrophil_PROS1_AXL
muscle cell,T cell,CD99_CD99,156,muscle cell_T cell_CD99_CD99
macrophage,Tumor,GAS6_AXL,156,macrophage_Tumor_GAS6_AXL
Tumor,fibroblast,PDGFA_PDGFRA,156,Tumor_fibroblast_PDGFA_PDGFRA
muscle cell,dendritic cell,PLAU_PLAUR,156,muscle cell_dendritic cell_PLAU_PLAUR
T cell,macrophage,CD6_ALCAM,156,T cell_macrophage_CD6_ALCAM
fat cell,pericyte,COMP_CD36,156,fat cell_pericyte_COMP_CD36
fibroblast,muscle cell,COMP_CD47,156,fibroblast_muscle cell_COMP_CD47
endothelial cell,endothelial cell,SELE_CD44,156,endothelial cell_endothelial cell_SELE_CD44
muscle cell,macrophage,JAM3_F11R,155,muscle cell_macrophage_JAM3_F11R
pericyte,neutrophil,CD99_CD99,155,pericyte_neutrophil_CD99_CD99
fibroblast,fibroblast,JAG1_NOTCH2,155,fibroblast_fibroblast_JAG1_NOTCH2
endothelial cell,neutrophil,PROS1_MERTK,155,endothelial cell_neutrophil_PROS1_MERTK
fibroblast,neutrophil,CXCL12_CXCR4,155,fibroblast_neutrophil_CXCL12_CXCR4
endothelial cell,mast cell,IGF2_IGF2R,155,endothelial cell_mast cell_IGF2_IGF2R
pericyte,fat cell,MPZL1_MPZL1,155,pericyte_fat cell_MPZL1_MPZL1
T cell,pericyte,CD99_CD99,155,T cell_pericyte_CD99_CD99
fat cell,muscle cell,WNT5A_MCAM,155,fat cell_muscle cell_WNT5A_MCAM
endothelial cell,Tumor,JAM3_JAM3,155,endothelial cell_Tumor_JAM3_JAM3
endothelial cell,Tumor,DLL1_NOTCH3,155,endothelial cell_Tumor_DLL1_NOTCH3
fibroblast,fat cell,JAG1_NOTCH2,154,fibroblast_fat cell_JAG1_NOTCH2
Tumor,Tumor,PDGFB_PDGFRB,154,Tumor_Tumor_PDGFB_PDGFRB
endothelial cell,muscle cell,PDGFD_PDGFRB,154,endothelial cell_muscle cell_PDGFD_PDGFRB
fat cell,pericyte,JAM3_JAM3,154,fat cell_pericyte_JAM3_JAM3
dendritic cell,pericyte,THBS1_CD36,154,dendritic cell_pericyte_THBS1_CD36
endothelial cell,B cell,CD55_ADGRE5,154,endothelial cell_B cell_CD55_ADGRE5
fibroblast,fibroblast,SDC2_ADGRA2,154,fibroblast_fibroblast_SDC2_ADGRA2
muscle cell,fibroblast,PDGFA_PDGFRA,154,muscle cell_fibroblast_PDGFA_PDGFRA
fibroblast,monocyte,THY1_ADGRE2,154,fibroblast_monocyte_THY1_ADGRE2
dendritic cell,T cell,COL4A1_CD44,154,dendritic cell_T cell_COL4A1_CD44
Tumor,muscle cell,PDGFA_PDGFRA,154,Tumor_muscle cell_PDGFA_PDGFRA
pericyte,fat cell,ANGPT2_TEK,154,pericyte_fat cell_ANGPT2_TEK
pericyte,muscle cell,MPZL1_MPZL1,153,pericyte_muscle cell_MPZL1_MPZL1
neutrophil,neutrophil,LGALS9_P4HB,153,neutrophil_neutrophil_LGALS9_P4HB
fibroblast,fat cell,LAMC1_CD44,153,fibroblast_fat cell_LAMC1_CD44
Tumor,muscle cell,APP_TNFRSF21,153,Tumor_muscle cell_APP_TNFRSF21
pericyte,monocyte,THY1_ADGRE2,153,pericyte_monocyte_THY1_ADGRE2
Tumor,muscle cell,COL4A1_CD44,153,Tumor_muscle cell_COL4A1_CD44
pericyte,neutrophil,JAG1_NOTCH1,153,pericyte_neutrophil_JAG1_NOTCH1
fat cell,muscle cell,PLAU_PLAUR,153,fat cell_muscle cell_PLAU_PLAUR
muscle cell,neutrophil,ANGPTL2_TLR4,153,muscle cell_neutrophil_ANGPTL2_TLR4
macrophage,endothelial cell,PDGFB_PDGFRB,153,macrophage_endothelial cell_PDGFB_PDGFRB
fat cell,muscle cell,JAG1_NOTCH1,153,fat cell_muscle cell_JAG1_NOTCH1
T cell,neutrophil,IL16_CD4,153,T cell_neutrophil_IL16_CD4
endothelial cell,fibroblast,JAM2_JAM3,152,endothelial cell_fibroblast_JAM2_JAM3
fibroblast,endothelial cell,VEGFA_VEGFR2,152,fibroblast_endothelial cell_VEGFA_VEGFR2
fibroblast,pericyte,COMP_CD36,152,fibroblast_pericyte_COMP_CD36
mast cell,muscle cell,SDC2_ADGRA2,152,mast cell_muscle cell_SDC2_ADGRA2
muscle cell,mast cell,LAMC1_CD44,152,muscle cell_mast cell_LAMC1_CD44
macrophage,T cell,CXCL9_CXCR3,152,macrophage_T cell_CXCL9_CXCR3
dendritic cell,macrophage,F11R_F11R,151,dendritic cell_macrophage_F11R_F11R
mast cell,pericyte,GAS6_AXL,151,mast cell_pericyte_GAS6_AXL
