partner_A	partner_B	ligand_genes	receptor_genes	classification	directionality	id_cp_interaction
200	1506	COL4A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0744E13CB
272	1506	COL4A2	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC03F728659
703	1506	COL4A3	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0886D58EF
648	1506	COL4A4	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC04ABF0023
1344	1506	COL4A5	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC042B580A3
758	1506	COL4A6	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0C8B6ACF5
413	1506	COL5A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0592501EA
245	1506	COL5A2	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC037A0554C
1340	1506	COL5A3	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC00EAD4C47
323	1506	COL6A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0549A759B
324	1506	COL6A2	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0F9FB6DCB
325	1506	COL6A3	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0ECDD1074
34	1506	COL6A5	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0C6DC4D50
33	1506	COL6A6	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0D3870098
708	1506	COL7A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0E509A5C6
1343	1506	COL8A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC03760D980
450	1506	COL8A2	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0453131F6
412	1506	COL9A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC070BECDC9
760	1506	COL9A2	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0270AA5D9
759	1506	COL9A3	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0DC74CBE5
114	1506	SEMA7A	ITGA1_ITGB1	Signaling by Semaphorin	Ligand-Receptor	CPI-SC03AF43F8B
716	1504	COL10A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0B4F620A6
322	1504	COL11A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0B991F6B1
343	1504	COL11A2	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC034D4CF73
930	1504	COL12A1	ITGA10_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0EC720659
