interaction_key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,sum_across_punches
endothelial cell_pericyte_COL4A2_CD44,9,37,0,42,24,18,37,22,15,30,15,16,16,15,0,0,0,0,0,33,0,0,18,0,12,0,0,26,33,45,31,38,30,19,19,0,0,0,0,0,31,39,32,21,21,14,31,0,0,0,28,33,38,40,33,5,15,11,21,27,22,26,19,26,37,1170
endothelial cell_pericyte_COL4A1_CD44,9,37,0,42,24,18,37,22,15,30,15,16,16,15,0,0,0,0,0,33,0,0,18,0,12,0,0,26,33,45,31,38,30,19,19,0,0,0,0,0,31,39,32,21,21,14,31,0,0,0,28,33,38,40,33,5,15,11,21,27,22,26,19,26,37,1170
endothelial cell_endothelial cell_PDGFB_PDGFRB,0,51,27,53,32,27,41,0,18,27,16,0,0,27,0,0,0,0,0,25,20,13,22,0,0,0,0,0,45,56,38,0,35,17,16,0,0,0,0,0,37,0,0,0,0,0,35,18,42,23,30,45,44,46,40,0,0,0,26,28,20,27,24,28,41,1160
endothelial cell_pericyte_JAG1_NOTCH2,0,37,0,42,24,18,37,22,0,30,15,0,16,15,3,0,0,0,0,33,12,0,18,0,0,0,0,26,33,45,31,38,30,19,19,0,0,5,5,7,31,39,32,21,21,14,31,0,0,15,28,33,38,40,33,0,15,11,21,27,22,26,19,26,37,1160
endothelial cell_endothelial cell_JAM3_F11R,0,51,27,53,32,27,41,0,0,27,0,28,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,31,45,56,38,50,35,0,0,0,0,0,0,28,37,34,31,21,19,0,35,0,42,0,30,45,44,46,40,0,0,0,26,0,0,27,0,28,41,1142
endothelial cell_Tumor_HSPG2_DAG1,0,35,12,32,12,9,27,25,25,29,29,15,13,13,5,11,10,0,6,13,6,7,11,0,9,5,2,36,39,31,25,31,34,9,17,8,3,6,7,17,17,21,20,23,12,18,36,0,21,0,31,30,31,31,32,0,4,18,22,32,22,15,16,20,43,1139
endothelial cell_macrophage_COL4A2_CD44,9,30,0,32,15,15,23,7,21,21,20,22,18,18,10,12,11,0,7,18,14,10,17,11,16,15,6,24,25,41,27,28,30,14,23,0,3,6,6,10,22,32,27,21,20,13,29,16,29,0,14,30,30,31,28,5,13,6,6,26,16,19,15,20,34,1137
endothelial cell_macrophage_COL4A1_CD44,9,30,0,32,15,15,23,7,21,21,20,22,18,18,10,12,11,0,7,18,14,10,17,11,16,15,6,24,25,41,27,28,30,14,23,0,3,6,6,10,22,32,27,21,20,13,29,16,29,0,14,30,30,31,28,5,13,6,6,26,16,19,15,20,34,1137
endothelial cell_pericyte_SEMA4C_PLXNB2,0,37,0,42,24,18,37,22,15,30,15,16,16,0,0,0,4,0,0,33,12,0,18,0,12,0,0,26,33,45,31,38,30,19,19,0,0,0,0,0,31,39,32,21,21,14,31,0,0,0,28,33,38,40,33,0,0,11,21,27,0,26,19,26,37,1120
endothelial cell_endothelial cell_JAM3_JAM3,0,51,0,53,32,27,41,0,0,27,0,28,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,31,45,56,38,50,35,0,0,0,0,0,0,28,37,34,31,21,19,0,35,0,42,0,30,45,44,46,40,0,0,0,26,0,0,27,0,28,41,1115
endothelial cell_endothelial cell_JAM2_JAM2,0,51,27,53,32,27,41,19,18,27,16,28,0,27,10,0,0,0,10,25,20,13,22,14,14,15,14,31,45,0,38,50,35,0,16,0,0,0,0,0,0,34,31,21,19,0,35,0,0,23,30,0,44,0,40,0,0,0,26,28,0,0,0,0,41,1110
endothelial cell_pericyte_DLL4_NOTCH3,0,37,0,42,24,0,37,22,15,30,0,16,16,15,0,5,4,0,3,33,12,6,18,9,12,8,0,26,33,45,31,38,0,0,0,0,0,0,0,7,31,39,32,21,21,0,31,11,36,15,0,33,38,40,33,0,15,11,21,0,22,26,19,26,37,1102
