ligand_norm,receptor_norm,signaling_type_ccv2,signaling_type_lr,ligand_ccv2,receptor_ccv2,ligand_lr,receptor_lr
LRRC4B,PTPRS,Cell-Cell Contact,Secreted Signaling,LRRC4B,PTPRS,LRRC4B,PTPRS
LRRC4C,PTPRF,Cell-Cell Contact,Secreted Signaling,LRRC4C,PTPRF,LRRC4C,PTPRF
LTA4H,LTB4R,Non-protein Signaling,Secreted Signaling,LTA4H,LTB4R,LTA4H,LTB4R
LTA4H,LTB4R2,Non-protein Signaling,Secreted Signaling,LTA4H,LTB4R2,LTA4H,LTB4R2
PTPRS,NTRK3,Secreted Signaling,Cell-Cell Contact,PTPRS,NTRK3,PTPRS,NTRK3
POMC,OPRD1,Non-protein Signaling,Secreted Signaling,POMC,OPRD1,POMC,OPRD1
POMC,OPRM1,Non-protein Signaling,Secreted Signaling,POMC,OPRM1,POMC,OPRM1
POMC,OPRK1,Non-protein Signaling,Secreted Signaling,POMC,OPRK1,POMC,OPRK1
PNOC,OPRL1,Non-protein Signaling,Secreted Signaling,PNOC,OPRL1,PNOC,OPRL1
PTGDS,PTGDR,Non-protein Signaling,Secreted Signaling,PTGDS,PTGDR,PTGDS,PTGDR
PTGDS,PTGDR2,Non-protein Signaling,Secreted Signaling,PTGDS,PTGDR2,PTGDS,PTGDR2
PTGES,PTGER1,Non-protein Signaling,Secreted Signaling,PTGES,PTGER1,PTGES,PTGER1
PTGES2,PTGER1,Non-protein Signaling,Secreted Signaling,PTGES2,PTGER1,PTGES2,PTGER1
PTGES3,PTGER1,Non-protein Signaling,Secreted Signaling,PTGES3,PTGER1,PTGES3,PTGER1
PTGES,PTGER2,Non-protein Signaling,Secreted Signaling,PTGES,PTGER2,PTGES,PTGER2
PTGES2,PTGER2,Non-protein Signaling,Secreted Signaling,PTGES2,PTGER2,PTGES2,PTGER2
PTGES3,PTGER2,Non-protein Signaling,Secreted Signaling,PTGES3,PTGER2,PTGES3,PTGER2
PTGES,PTGER3,Non-protein Signaling,Secreted Signaling,PTGES,PTGER3,PTGES,PTGER3
PTGES2,PTGER3,Non-protein Signaling,Secreted Signaling,PTGES2,PTGER3,PTGES2,PTGER3
PTGES3,PTGER3,Non-protein Signaling,Secreted Signaling,PTGES3,PTGER3,PTGES3,PTGER3
PTGES,PTGER4,Non-protein Signaling,Secreted Signaling,PTGES,PTGER4,PTGES,PTGER4
PTGES2,PTGER4,Non-protein Signaling,Secreted Signaling,PTGES2,PTGER4,PTGES2,PTGER4
PTGES3,PTGER4,Non-protein Signaling,Secreted Signaling,PTGES3,PTGER4,PTGES3,PTGER4
AKR1C3,PTGFR,Non-protein Signaling,Secreted Signaling,AKR1C3,PTGFR,AKR1C3,PTGFR
CBR1,PTGFR,Non-protein Signaling,Secreted Signaling,CBR1,PTGFR,CBR1,PTGFR
PRXL2B,PTGFR,Non-protein Signaling,Secreted Signaling,PRXL2B,PTGFR,PRXL2B,PTGFR
PTGIS,PTGIR,Non-protein Signaling,Secreted Signaling,PTGIS,PTGIR,PTGIS,PTGIR
