ligand,receptor,pathway,signaling_type
SEMA3C,NRP2,nan,Secreted Signaling
PLXNC1,SEMA7A,nan,Cell-Cell Contact
PSPN,RET_GFRA4,nan,Secreted Signaling
PSAP,GPR37L1,nan,Secreted Signaling
ADM,RAMP3,nan,Secreted Signaling
SLIT1,ROBO1,nan,Secreted Signaling
ICOSLG,ICOS,nan,Cell-Cell Contact
DKK 1.00,LRP5,nan,Secreted Signaling
SOSTDC1,LRP5,nan,Secreted Signaling
SEMA7A,ITGB1_ITGA1,nan,Cell-Cell Contact
CYP11A1_FDX2_FDX1_FDXR,NR1I2,nan,Secreted Signaling
RSPO4,LGR5,nan,Secreted Signaling
RSPO1,LGR5,nan,Secreted Signaling
RSPO2,LGR5,nan,Secreted Signaling
RSPO3,LGR5,nan,Secreted Signaling
TNFRSF21,APP,nan,Cell-Cell Contact
DKK 1.00,LRP6,nan,Secreted Signaling
SOSTDC1,LRP6,nan,Secreted Signaling
DKK 2.00,LRP6,nan,Secreted Signaling
REN,ATP6AP2,nan,Secreted Signaling
TNFSF13,TNFRSF1A,nan,Secreted Signaling
TNFSF13,FAS,nan,Secreted Signaling
TNFSF13,TNFRSF17,nan,Secreted Signaling
TNFSF13,TNFRSF14,nan,Secreted Signaling
FGF18,FGFR2,nan,Secreted Signaling
FGF18,FGFR3,nan,Secreted Signaling
SLIT2,ROBO2,nan,Secreted Signaling
SLIT2,ROBO1,nan,Secreted Signaling
NRG1,ADGRL1,nan,Secreted Signaling
FAM19A5,S1PR2,nan,Secreted Signaling
TNFSF15,TNFRSF25,nan,Secreted Signaling
NTN1,UNC5C,nan,Secreted Signaling
DDC,HTR3B,nan,Secreted Signaling
WISP3,SORL1,nan,Secreted Signaling
GDF11,ANTXR1,nan,Secreted Signaling
GDF11,TGFBR1_ACVR2A,nan,Secreted Signaling
