ligand,receptor,classification,directionality,id_cp_interaction,signaling_type
LRRTM1,NRXN2,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,CPI-SS0888FD8F7,Secreted Signaling
LRRTM2,NRXN2,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,CPI-SS023A16921,Secreted Signaling
LRRTM3,NRXN2,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,CPI-SS08D8F6957,Secreted Signaling
LRRTM4,NRXN2,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,CPI-SS06157E5AF,Secreted Signaling
NLGN1,NRXN2,Signaling by Neuroligin,Ligand-Receptor,CPI-SS0CF0A8519,Secreted Signaling
NLGN2,NRXN2,Signaling by Neuroligin,Ligand-Receptor,CPI-SS0934535FF,Secreted Signaling
NLGN3,NRXN2,Signaling by Neuroligin,Ligand-Receptor,CPI-SS074EA7741,Secreted Signaling
NLGN4X,NRXN2,Signaling by Neuroligin,Ligand-Receptor,CPI-SS0E988B9C0,Secreted Signaling
NLGN4Y,NRXN2,Signaling by Neuroligin,Ligand-Receptor,CPI-SS07C26C799,Secreted Signaling
CCL1,CCR8,Signaling by Chemokines,Ligand-Receptor,CPI-SS0B784A03E,Secreted Signaling
CCL16,CCR8,Signaling by Chemokines,Ligand-Receptor,CPI-SS03A875239,Secreted Signaling
CCL18,CCR8,Signaling by Chemokines,Ligand-Receptor,CPI-SS0F8AFE595,Secreted Signaling
CCL11,ACKR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0D4403860,Secreted Signaling
CCL13,ACKR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0F60C6D89,Secreted Signaling
CCL14,ACKR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS004B1EBD1,Secreted Signaling
CCL2,ACKR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS010BB499F,Secreted Signaling
CCL3,ACKR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0B03ACD14,Secreted Signaling
CCL4,ACKR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS087BEB1C9,Secreted Signaling
CCL5,ACKR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0E555F91F,Secreted Signaling
CCL7,ACKR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0FD442A0E,Secreted Signaling
CCL8,ACKR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0F6F1C29E,Secreted Signaling
CCL11,CCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS0F33890C0,Secreted Signaling
CCL13,CCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS09DAE86C9,Secreted Signaling
CCL14,CCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS07D36FFB5,Secreted Signaling
CCL15,CCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS0223F2B31,Secreted Signaling
CCL24,CCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS0B0AC1603,Secreted Signaling
CCL26,CCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS01FCCEBB9,Secreted Signaling
CCL3,CCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS08BFF4F9B,Secreted Signaling
CCL3L1,CCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS0C6311D2D,Secreted Signaling
CCL5,CCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS0F6B529A1,Secreted Signaling
CCL7,CCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS008CEEAB9,Secreted Signaling
CCL8,CCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS0DF6991A8,Secreted Signaling
CCL11,DPP4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0491EECEA,Secreted Signaling
CCL22,DPP4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0AEC33FF1,Secreted Signaling
CXCL10,DPP4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0FDAB7BA8,Secreted Signaling
CXCL11,DPP4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0CC738ABC,Secreted Signaling
CXCL12,DPP4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0B1B18F2D,Secreted Signaling
CXCL2,DPP4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0CDAC688B,Secreted Signaling
CXCL9,DPP4,Signaling by Chemokines,Ligand-Receptor,CPI-SS068BC31E4,Secreted Signaling
CCL13,CCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS02647DD07,Secreted Signaling
CCL16,CCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS093922D5A,Secreted Signaling
CCL2,CCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0CF0E4DE9,Secreted Signaling
CCL26,CCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0C2E7931B,Secreted Signaling
CCL7,CCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0F5AA0D9B,Secreted Signaling
CCL8,CCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS019381277,Secreted Signaling
CCL14,CCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS01CBCD4BF,Secreted Signaling
CCL15,CCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS0A76E2CE9,Secreted Signaling
CCL16,CCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS0348B76E5,Secreted Signaling
CCL23,CCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS049DF2278,Secreted Signaling
CCL26,CCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS0F06E4B3F,Secreted Signaling
CCL3,CCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS08DA48A5A,Secreted Signaling
CCL3L1,CCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS0817CE2B3,Secreted Signaling
CCL5,CCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS0A021DB6E,Secreted Signaling
CCL7,CCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS02CC53E89,Secreted Signaling
CCL8,CCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS087054090,Secreted Signaling
CCL16,HRH4,Signaling by Chemokines,Ligand-Receptor,CPI-SS04587A7C5,Secreted Signaling
HDC,HRH4,Signaling by Histamine,Ligand-Receptor,CPI-CS0B6CBE509,Secreted Signaling
CCL17,CCR4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0EDD38B58,Secreted Signaling
CCL22,CCR4,Signaling by Chemokines,Ligand-Receptor,CPI-SS052B38F1C,Secreted Signaling
CCL5,CCR4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0EA05941A,Secreted Signaling
CCL19,ACKR4,Signaling by Chemokines,Ligand-Receptor,CPI-SS00AEC3818,Secreted Signaling
CCL21,ACKR4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0ECD9BB5E,Secreted Signaling
CCL25,ACKR4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0CCD89E02,Secreted Signaling
CXCL13,ACKR4,Signaling by Chemokines,Ligand-Receptor,CPI-SS083B5EBAB,Secreted Signaling
CCL19,CCR7,Signaling by Chemokines,Ligand-Receptor,CPI-SS09239FB26,Secreted Signaling
CCL21,CCR7,Signaling by Chemokines,Ligand-Receptor,CPI-SS06C0074BD,Secreted Signaling
CCL19,CCRL2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0605AC9BF,Secreted Signaling
RARRES2,CCRL2,Signaling by Retinoid acid,Ligand-Receptor,CPI-SS09EB0DFB1,Secreted Signaling
CCL2,ACKR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS0DBFB8BEA,Secreted Signaling
CCL5,ACKR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS05B7D3407,Secreted Signaling
CXCL1,ACKR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS052BBD9F9,Secreted Signaling
CXCL8,ACKR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS0911EECCC,Secreted Signaling
CCL20,CCR6,Signaling by Chemokines,Ligand-Receptor,CPI-SS0079E2156,Secreted Signaling
CCL25,CCR9,Signaling by Chemokines,Ligand-Receptor,CPI-SS039863E62,Secreted Signaling
CCL27,CCR10,Signaling by Chemokines,Ligand-Receptor,CPI-SS0BFCF6B11,Secreted Signaling
CCL28,CCR10,Signaling by Chemokines,Ligand-Receptor,CPI-SS0BCCA6596,Secreted Signaling
CCL3,CCR5,Signaling by Chemokines,Ligand-Receptor,CPI-SS0C090A257,Secreted Signaling
CCL4,CCR5,Signaling by Chemokines,Ligand-Receptor,CPI-SS0D1D95883,Secreted Signaling
CCL5,CCR5,Signaling by Chemokines,Ligand-Receptor,CPI-SS0B01D306C,Secreted Signaling
CCL7,CCR5,Signaling by Chemokines,Ligand-Receptor,CPI-SS09C16258E,Secreted Signaling
CCL8,CCR5,Signaling by Chemokines,Ligand-Receptor,CPI-SS0C30EC0DE,Secreted Signaling
CCL5,GPR75,Signaling by Chemokines,Ligand-Receptor,CPI-SS0BDA6DD92,Secreted Signaling
PPBP,CXCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS07AB1C381,Secreted Signaling
CXCL1,CXCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS0C62E5DD8,Secreted Signaling
CXCL5,CXCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS0BC034428,Secreted Signaling
CXCL6,CXCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS03818E1DD,Secreted Signaling
CXCL8,CXCR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS0698C4DC4,Secreted Signaling
PPBP,CXCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0C491A3C1,Secreted Signaling
CXCL1,CXCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS08102DC9E,Secreted Signaling
CXCL2,CXCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0F562FEA5,Secreted Signaling
CXCL3,CXCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS09185EA8F,Secreted Signaling
CXCL5,CXCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS00270ECE6,Secreted Signaling
CXCL6,CXCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS093B46106,Secreted Signaling
CXCL8,CXCR2,Signaling by Chemokines,Ligand-Receptor,CPI-SS0315F51DD,Secreted Signaling
CX3CL1,CX3CR1,Signaling by Chemokines,Ligand-Receptor,CPI-SS0388C9C86,Secreted Signaling
CXCL10,CXCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS080683E15,Secreted Signaling
CXCL11,CXCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS09FAC4977,Secreted Signaling
CXCL9,CXCR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS09A1EB4B3,Secreted Signaling
PF4,CXCR3,,Ligand-Receptor,CPI-SS01A6823FA,Secreted Signaling
CXCL11,ACKR3,Signaling by Chemokines,Ligand-Receptor,CPI-SS0747FCACD,Secreted Signaling
CXCL12,CXCR4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0A28DCA72,Secreted Signaling
CXCL14,CXCR4,Signaling by Chemokines,Ligand-Receptor,CPI-SS0669CC233,Secreted Signaling
CXCL13,CXCR5,Signaling by Chemokines,Ligand-Receptor,CPI-SS0C2437E0D,Secreted Signaling
CXCL16,CXCR6,Signaling by Chemokines,Ligand-Receptor,CPI-SS0B1535576,Secreted Signaling
CCK,CCKAR,Signaling by Cholecystokinin,Ligand-Receptor,CPI-SS0EA96C304,Secreted Signaling
GAST,CCKAR,Signaling by Gastrin,Ligand-Receptor,CPI-SS045E6542C,Cell-Cell Contact
CCK,CCKBR,Signaling by Cholecystokinin,Ligand-Receptor,CPI-SS00AD71822,Secreted Signaling
GAST,CCKBR,Signaling by Gastrin,Ligand-Receptor,CPI-SS0830AF8E6,Cell-Cell Contact
CEL,RORA,Signaling by Cholesterol,Ligand-Receptor,CPI-CS06A0713BD,Secreted Signaling
LIPA,RORA,Signaling by Cholesterol,Ligand-Receptor,CPI-CS0406B0B69,Secreted Signaling
DHCR24,RORA,Signaling by Cholesterol/Desmosterol,Ligand-Receptor,CPI-CS0D81115C8,Secreted Signaling
DHCR7,RORA,Signaling by Cholesterol/Desmosterol,Ligand-Receptor,CPI-CS06C6527F4,Secreted Signaling
CEL,RORC,Signaling by Cholesterol,Ligand-Receptor,CPI-CS0CDFC0C7D,Secreted Signaling
LIPA,RORC,Signaling by Cholesterol,Ligand-Receptor,CPI-CS0F51152EA,Secreted Signaling
DHCR24,RORC,Signaling by Cholesterol/Desmosterol,Ligand-Receptor,CPI-CS03D61E885,Secreted Signaling
DHCR7,RORC,Signaling by Cholesterol/Desmosterol,Ligand-Receptor,CPI-CS0BEF10547,Secreted Signaling
DHCR7,NR1H2,Signaling by Cholesterol/Desmosterol,Ligand-Receptor,CPI-CS086D3E39F,Secreted Signaling
DHCR7,NR1H3,Signaling by Cholesterol/Desmosterol,Ligand-Receptor,CPI-CS0DC57DE37,Secreted Signaling
CHAT_SLC10A4,CHRNA1_CHRNB1_CHRND_CHRNE,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC01E905EE4,Secreted Signaling
CHAT_SLC18A3,CHRNA1_CHRNB1_CHRND_CHRNE,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC0F96A1528,Secreted Signaling
CHAT_SLC5A7,CHRNA1_CHRNB1_CHRND_CHRNE,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC01B403DFA,Secreted Signaling
CHAT_SLC10A4,CHRNA1_CHRNB1_CHRND_CHRNG,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC05AF55A7C,Secreted Signaling
CHAT_SLC18A3,CHRNA1_CHRNB1_CHRND_CHRNG,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC04345D7C5,Secreted Signaling
CHAT_SLC5A7,CHRNA1_CHRNB1_CHRND_CHRNG,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC0CF0B806F,Secreted Signaling
CHAT_SLC10A4,CHRNA3_CHRNB4,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC073EF69CF,Secreted Signaling
CHAT_SLC18A3,CHRNA3_CHRNB4,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC0A14A9CBC,Secreted Signaling
CHAT_SLC5A7,CHRNA3_CHRNB4,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC055FABA12,Secreted Signaling
CHAT_SLC10A4,CHRNA7,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC0E96299D9,Secreted Signaling
CHAT_SLC18A3,CHRNA7,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC0A55D72E8,Secreted Signaling
CHAT_SLC5A7,CHRNA7,Signaling by Choline acetyltransferase ,Ligand-Receptor,CPI-CC0A4E09DEF,Secreted Signaling
CGA_CGB1,LHCGR,Signaling by Choriogonadotropin,Ligand-Receptor,CPI-CS0304F03CA,Secreted Signaling
CGA_CGB2,LHCGR,Signaling by Choriogonadotropin,Ligand-Receptor,CPI-CS0EB8FBBDE,Secreted Signaling
CGA_CGB3,LHCGR,Signaling by Choriogonadotropin,Ligand-Receptor,CPI-CS055F9D8B7,Secreted Signaling
CGA_CGB7,LHCGR,Signaling by Choriogonadotropin,Ligand-Receptor,CPI-CS0FCFDA7E5,Secreted Signaling
CGA_LHB,LHCGR,Signaling by Choriogonadotropin,Ligand-Receptor,CPI-CS00442A4B6,Secreted Signaling
LHB,LHCGR,,Ligand-Receptor,CPI-SS0DEF5D0CE,Secreted Signaling
CGA_FSHB,FSHR,Signaling by Choriogonadotropin,Ligand-Receptor,CPI-CS0BCB7C0A7,Secreted Signaling
FSHB,FSHR,,Ligand-Receptor,CPI-SS035A3ADDF,Secreted Signaling
CGA_TSHB,TSHR,Signaling by Choriogonadotropin,Ligand-Receptor,CPI-CS057BB9EE5,Secreted Signaling
GPHA2_GPHB5,TSHR,,Ligand-Receptor,CPI-CS08AEE70BD,Secreted Signaling
TSHB,TSHR,,Ligand-Receptor,CPI-SS0C7833961,Secreted Signaling
C10orf99,GPR15,,Ligand-Receptor,CPI-SS0DB4C4CC8,Secreted Signaling
C10orf99,SUSD2,,Ligand-Receptor,CPI-SS045D94D48,Secreted Signaling
C1QL1,ADGRB3,Signaling by Complement,Ligand-Receptor,CPI-SS0F62347D4,Cell-Cell Contact
C1QL2,ADGRB3,Signaling by Complement,Ligand-Receptor,CPI-SS0EB51E2A2,Cell-Cell Contact
C1QL3,ADGRB3,Signaling by Complement,Ligand-Receptor,CPI-SS0348885FD,Cell-Cell Contact
C1QL4,ADGRB3,Signaling by Complement,Ligand-Receptor,CPI-SS035DE17DA,Cell-Cell Contact
C3,C3AR1,Signaling by Complement,Ligand-Receptor,CPI-SS03E48EFEA,Secreted Signaling
C3,C5AR2,Signaling by Complement,Ligand-Receptor,CPI-SS00F4019EA,Secreted Signaling
C4A,C5AR2,Signaling by Complement,Ligand-Receptor,CPI-SS01E4E32AC,Secreted Signaling
C5,C5AR2,Signaling by Complement,Ligand-Receptor,CPI-SS0A7E3A1AF,Secreted Signaling
C5,C5AR1,Signaling by Complement,Ligand-Receptor,CPI-SS00581282E,Secreted Signaling
CRH,CRHR1,Signaling by Corticotropin-releasing factor,Ligand-Receptor,CPI-SS06B1216BE,Secreted Signaling
UCN,CRHR1,Signaling by Urocortin/Urotensin,Ligand-Receptor,CPI-SS0A748917D,Secreted Signaling
UCN2,CRHR1,Signaling by Urocortin/Urotensin,Ligand-Receptor,CPI-SS058394CAD,Secreted Signaling
CRH,CRHR2,Signaling by Corticotropin-releasing factor,Ligand-Receptor,CPI-SS0A05319F5,Secreted Signaling
UCN,CRHR2,Signaling by Urocortin/Urotensin,Ligand-Receptor,CPI-SS0E654708F,Secreted Signaling
UCN2,CRHR2,Signaling by Urocortin/Urotensin,Ligand-Receptor,CPI-SS0EDEEE57E,Secreted Signaling
UCN3,CRHR2,Signaling by Urocortin/Urotensin,Ligand-Receptor,CPI-SS017F03E67,Secreted Signaling
CSF1,CSF1R,Signaling by Colony-Stimulating factor,Ligand-Receptor,CPI-SS0AB1F04A0,Secreted Signaling
IL34,CSF1R,Signaling by Interleukin,Ligand-Receptor,CPI-SS015162AFC,Secreted Signaling
CSF2,CSF2RA_CSF2RB,Signaling by Colony-Stimulating factor,Ligand-Receptor,CPI-SC0DAAF158F,Secreted Signaling
CSF3,CSF3R,Signaling by Colony-Stimulating factor,Ligand-Receptor,CPI-SS08376F0E6,Secreted Signaling
SULT1A1,PPARA,Signaling by Dehydroepiandrosterone,Ligand-Receptor,CPI-CS099F73A95,Secreted Signaling
SULT1E1,PPARA,Signaling by Dehydroepiandrosterone,Ligand-Receptor,CPI-CS0F71EE8D0,Secreted Signaling
SULT2A1,PPARA,Signaling by Dehydroepiandrosterone,Ligand-Receptor,CPI-CS0FF565F1C,Secreted Signaling
UBASH3B,PPARA,Signaling by Dehydroepiandrosterone,Ligand-Receptor,CPI-CS0259A0EB4,Secreted Signaling
SULT1A1,PPARD,Signaling by Dehydroepiandrosterone,Ligand-Receptor,CPI-CS0D89E7C19,Secreted Signaling
SULT1E1,PPARD,Signaling by Dehydroepiandrosterone,Ligand-Receptor,CPI-CS06B596CD2,Secreted Signaling
SULT2A1,PPARD,Signaling by Dehydroepiandrosterone,Ligand-Receptor,CPI-CS04A65DD62,Secreted Signaling
SULT1A1,PPARG,Signaling by Dehydroepiandrosterone,Ligand-Receptor,CPI-CS0412B081A,Secreted Signaling
SULT1E1,PPARG,Signaling by Dehydroepiandrosterone,Ligand-Receptor,CPI-CS0917E42F5,Secreted Signaling
SULT2A1,PPARG,Signaling by Dehydroepiandrosterone,Ligand-Receptor,CPI-CS0006C277B,Secreted Signaling
DHH,BOC_PTCH1,Signaling by Desert hedgehog,Ligand-Receptor,CPI-SC006556DF8,Secreted Signaling
IHH,BOC_PTCH1,Signaling by Indian hedgehog,Ligand-Receptor,CPI-SC0037338E6,Secreted Signaling
SHH,BOC_PTCH1,Signaling by Sonic hedgehog,Ligand-Receptor,CPI-SC006170BDC,Secreted Signaling
DHH,CDON_PTCH1,Signaling by Desert hedgehog,Ligand-Receptor,CPI-SC0ABE55781,Secreted Signaling
IHH,CDON_PTCH1,Signaling by Indian hedgehog,Ligand-Receptor,CPI-SC036B73615,Secreted Signaling
SHH,CDON_PTCH1,Signaling by Sonic hedgehog,Ligand-Receptor,CPI-SC08B0B5F27,Secreted Signaling
DHH,GAS1_PTCH1,Signaling by Desert hedgehog,Ligand-Receptor,CPI-SC03021510C,Secreted Signaling
IHH,GAS1_PTCH1,Signaling by Indian hedgehog,Ligand-Receptor,CPI-SC0C3E862AA,Secreted Signaling
SHH,GAS1_PTCH1,Signaling by Sonic hedgehog,Ligand-Receptor,CPI-SC07F2D6624,Secreted Signaling
DHH,HHIP,Signaling by Desert hedgehog,Ligand-Ligand,CPI-SS07C846DEE,Secreted Signaling
IHH,HHIP,Signaling by Indian hedgehog,Ligand-Ligand,CPI-SS055233B99,Secreted Signaling
SHH,HHIP,Signaling by Sonic hedgehog,Ligand-Ligand,CPI-SS0F7A89A4F,Secreted Signaling
DHRS9,PGR,Signaling by Steroids,Ligand-Receptor,CPI-CS072C12EF4,Secreted Signaling
HSD3B1,PGR,Signaling by Progesterone,Ligand-Receptor,CPI-CS0B678BD26,Secreted Signaling
TYR,GPR143,Signaling by Serotonin/Dopamine,Ligand-Receptor,CPI-CS034170CC8,Secreted Signaling
EDN1,EDNRA,Signaling by Endothelin,Ligand-Receptor,CPI-SS0D8632EB4,Secreted Signaling
EDN2,EDNRA,Signaling by Endothelin,Ligand-Receptor,CPI-SS056AA08CF,Secreted Signaling
EDN3,EDNRA,Signaling by Endothelin,Ligand-Receptor,CPI-SS03D5CBF55,Secreted Signaling
EDN1,EDNRB,Signaling by Endothelin,Ligand-Receptor,CPI-SS09B92F236,Secreted Signaling
EDN2,EDNRB,Signaling by Endothelin,Ligand-Receptor,CPI-SS0CA5B3B8E,Secreted Signaling
EDN3,EDNRB,Signaling by Endothelin,Ligand-Receptor,CPI-SS0696491A3,Secreted Signaling
EFNA1,EPHA1,Signaling by Ephrin,Ligand-Receptor,CPI-SS0FF49C823,Cell-Cell Contact
EFNA2,EPHA1,Signaling by Ephrin,Ligand-Receptor,CPI-SS0B34CBA4B,Cell-Cell Contact
EFNA3,EPHA1,Signaling by Ephrin,Ligand-Receptor,CPI-SS0222DF7B4,Cell-Cell Contact
EFNA4,EPHA1,Signaling by Ephrin,Ligand-Receptor,CPI-SS05BB5902B,Cell-Cell Contact
EFNA5,EPHA1,Signaling by Ephrin,Ligand-Receptor,CPI-SS04E33D0FB,Cell-Cell Contact
EFNA1,EPHA2,Signaling by Ephrin,Ligand-Receptor,CPI-SS046F6F0C1,Cell-Cell Contact
EFNA2,EPHA2,Signaling by Ephrin,Ligand-Receptor,CPI-SS08A54963F,Cell-Cell Contact
EFNA3,EPHA2,Signaling by Ephrin,Ligand-Receptor,CPI-SS0CBCBBA83,Cell-Cell Contact
EFNA4,EPHA2,Signaling by Ephrin,Ligand-Receptor,CPI-SS0475BE8ED,Cell-Cell Contact
EFNA5,EPHA2,Signaling by Ephrin,Ligand-Receptor,CPI-SS09587DA63,Cell-Cell Contact
EFNB1,EPHA2,Signaling by Ephrin,Ligand-Receptor,CPI-SS0087A3F67,Cell-Cell Contact
EFNA1,EPHA3,Signaling by Ephrin,Ligand-Receptor,CPI-SS09CA492BA,Cell-Cell Contact
EFNA2,EPHA3,Signaling by Ephrin,Ligand-Receptor,CPI-SS0C875BA24,Cell-Cell Contact
EFNA3,EPHA3,Signaling by Ephrin,Ligand-Receptor,CPI-SS0EF309375,Cell-Cell Contact
EFNA4,EPHA3,Signaling by Ephrin,Ligand-Receptor,CPI-SS0D1D8FF06,Cell-Cell Contact
EFNA5,EPHA3,Signaling by Ephrin,Ligand-Receptor,CPI-SS0C70ADA28,Cell-Cell Contact
EFNA1,EPHA4,Signaling by Ephrin,Ligand-Receptor,CPI-SS0EBFE1854,Cell-Cell Contact
EFNA2,EPHA4,Signaling by Ephrin,Ligand-Receptor,CPI-SS0E63AB61E,Cell-Cell Contact
EFNA3,EPHA4,Signaling by Ephrin,Ligand-Receptor,CPI-SS05B4EB419,Cell-Cell Contact
EFNA4,EPHA4,Signaling by Ephrin,Ligand-Receptor,CPI-SS0659DBE72,Cell-Cell Contact
EFNA5,EPHA4,Signaling by Ephrin,Ligand-Receptor,CPI-SS0FC01B947,Cell-Cell Contact
EFNB1,EPHA4,Signaling by Ephrin,Ligand-Receptor,CPI-SS03446CB39,Cell-Cell Contact
EFNB2,EPHA4,Signaling by Ephrin,Ligand-Receptor,CPI-SS087E0E3FB,Cell-Cell Contact
EFNB3,EPHA4,Signaling by Ephrin,Ligand-Receptor,CPI-SS084B1ED25,Cell-Cell Contact
EFNA1,EPHA5,Signaling by Ephrin,Ligand-Receptor,CPI-SS0762B455F,Cell-Cell Contact
EFNA2,EPHA5,Signaling by Ephrin,Ligand-Receptor,CPI-SS0D81D9F5E,Cell-Cell Contact
EFNA3,EPHA5,Signaling by Ephrin,Ligand-Receptor,CPI-SS079EF5D9C,Cell-Cell Contact
EFNA4,EPHA5,Signaling by Ephrin,Ligand-Receptor,CPI-SS0008137B6,Cell-Cell Contact
EFNA5,EPHA5,Signaling by Ephrin,Ligand-Receptor,CPI-SS09E3F5044,Cell-Cell Contact
EFNA1,EPHA7,Signaling by Ephrin,Ligand-Receptor,CPI-SS03E450F99,Cell-Cell Contact
EFNA2,EPHA7,Signaling by Ephrin,Ligand-Receptor,CPI-SS01DCC7684,Cell-Cell Contact
EFNA3,EPHA7,Signaling by Ephrin,Ligand-Receptor,CPI-SS0D5DBB634,Cell-Cell Contact
EFNA4,EPHA7,Signaling by Ephrin,Ligand-Receptor,CPI-SS0F81DBF22,Cell-Cell Contact
EFNA5,EPHA7,Signaling by Ephrin,Ligand-Receptor,CPI-SS028688B7B,Cell-Cell Contact
EFNA1,EPHA8,Signaling by Ephrin,Ligand-Receptor,CPI-SS037E6BEDF,Cell-Cell Contact
EFNA2,EPHA8,Signaling by Ephrin,Ligand-Receptor,CPI-SS0830C7910,Cell-Cell Contact
EFNA3,EPHA8,Signaling by Ephrin,Ligand-Receptor,CPI-SS0C8ED6F41,Cell-Cell Contact
EFNA4,EPHA8,Signaling by Ephrin,Ligand-Receptor,CPI-SS0AA68C8E5,Cell-Cell Contact
EFNA5,EPHA8,Signaling by Ephrin,Ligand-Receptor,CPI-SS0F6A01237,Cell-Cell Contact
EFNA5,EPHB2,Signaling by Ephrin,Ligand-Receptor,CPI-SS068ACD209,Cell-Cell Contact
EFNB1,EPHB2,Signaling by Ephrin,Ligand-Receptor,CPI-SS06E797E50,Cell-Cell Contact
EFNB2,EPHB2,Signaling by Ephrin,Ligand-Receptor,CPI-SS0ECC9DF3E,Cell-Cell Contact
EFNB3,EPHB2,Signaling by Ephrin,Ligand-Receptor,CPI-SS0ECCB4382,Cell-Cell Contact
EFNB1,EPHB1,Signaling by Ephrin,Ligand-Receptor,CPI-SS03C7D1520,Cell-Cell Contact
EFNB2,EPHB1,Signaling by Ephrin,Ligand-Receptor,CPI-SS0BFD8E056,Cell-Cell Contact
EFNB3,EPHB1,Signaling by Ephrin,Ligand-Receptor,CPI-SS0CE96B837,Cell-Cell Contact
EFNB1,EPHB3,Signaling by Ephrin,Ligand-Receptor,CPI-SS0C2003B74,Cell-Cell Contact
EFNB2,EPHB3,Signaling by Ephrin,Ligand-Receptor,CPI-SS082ABF1EA,Cell-Cell Contact
