ligand,receptor,classification,directionality,id_cp_interaction,signaling_type
CDH1,ITGAE_ITGB7,Adhesion by Cadherin,Adhesion-Adhesion,CPI-SC09D882C18,Cell-Cell Contact
CDH1,KLRG1,Adhesion by Cadherin,Ligand-Receptor,CPI-SS0CC5DCE80,Cell-Cell Contact
CDH2,CDH2,Adhesion by Cadherin,Adhesion-Adhesion,CPI-SS0EE09A201,Cell-Cell Contact
CDH2,FCER2,Adhesion by Cadherin,Ligand-Receptor,CPI-SS0ADFF0666,Cell-Cell Contact
CDH3,CDH3,Adhesion by Cadherin,Adhesion-Adhesion,CPI-SS0DA0F5556,Cell-Cell Contact
CDH5,CDH5,Adhesion by Cadherin,Adhesion-Adhesion,CPI-SS00C24ED50,Cell-Cell Contact
CDH6,CDH6,Adhesion by Cadherin,Adhesion-Adhesion,CPI-SS0C53F7672,Cell-Cell Contact
CDH7,CDH7,Adhesion by Cadherin,Adhesion-Adhesion,CPI-SS0BE3D537D,Cell-Cell Contact
CADM1,CADM1,Adhesion by CADM,Adhesion-Adhesion,CPI-SS0889E281D,Cell-Cell Contact
CADM3,CADM1,Adhesion by CADM,Adhesion-Adhesion,CPI-SS09C06644C,Cell-Cell Contact
CRTAM,CADM1,,Adhesion-Adhesion,CPI-SS0C9696AAA,Cell-Cell Contact
CADM1,NECTIN3,Adhesion by CADM,Adhesion-Adhesion,CPI-SS0B990492C,Cell-Cell Contact
CADM3,NECTIN3,Adhesion by CADM,Adhesion-Adhesion,CPI-SS00550260E,Cell-Cell Contact
NECTIN1,NECTIN3,Adhesion by Nectin,Adhesion-Adhesion,CPI-SS0C5E9FBFB,Cell-Cell Contact
NECTIN2,NECTIN3,Adhesion by Nectin,Adhesion-Adhesion,CPI-SS02FBD007E,Cell-Cell Contact
CADM3,CADM4,Adhesion by CADM,Adhesion-Adhesion,CPI-SS02D18D12B,Cell-Cell Contact
CADM3,EPB41L1,Adhesion by CADM,Adhesion-Adhesion,CPI-SS0B3829651,Cell-Cell Contact
CEACAM1,CD209,Adhesion by CEAM,Adhesion-Adhesion,CPI-SS055B305F1,Cell-Cell Contact
ICAM2,CD209,Adhesion by ICAM,Ligand-Receptor,CPI-SS0544D2759,Cell-Cell Contact
ICAM3,CD209,Adhesion by ICAM,Ligand-Receptor,CPI-SS0A2949959,Cell-Cell Contact
CEACAM1,CEACAM6,Adhesion by CEAM,Adhesion-Adhesion,CPI-SS0A2D7895C,Cell-Cell Contact
CEACAM5,CEACAM6,Adhesion by CEAM,Adhesion-Adhesion,CPI-SS0322747C2,Cell-Cell Contact
CEACAM6,CEACAM6,Adhesion by CEAM,Adhesion-Adhesion,CPI-SS001BF66E8,Cell-Cell Contact
CEACAM8,CEACAM6,Adhesion by CEAM,Adhesion-Adhesion,CPI-SS08C411721,Cell-Cell Contact
CEACAM1,CEACAM8,Adhesion by CEAM,Adhesion-Adhesion,CPI-SS0CCDBBBC0,Cell-Cell Contact
CEACAM1,SELE,Adhesion by CEAM,Adhesion-Adhesion,CPI-SS0BDC04683,Cell-Cell Contact
PODXL2,SELE,Signaling by Podocalyxin-like protein,Ligand-Receptor,CPI-SS0B111D2F5,Cell-Cell Contact
SELPLG,SELE,Signaling by Selectin,Ligand-Receptor,CPI-SS085C6A191,Cell-Cell Contact
CD44,SELE,,Ligand-Receptor,CPI-SS06F83AE58,Cell-Cell Contact
CEACAM5,CD1D,Adhesion by CEAM,Adhesion-Adhesion,CPI-SS0AC66088D,Cell-Cell Contact
