==============================================================================
ALARMIST  seed=53  K=20  patch=50.0um  ->  results/GBM_s53_legacy
  stages : bptf
  figures: none   data-file: data/xenium_mm_final_cell_id.h5ad
==============================================================================
timestamp_utc = 2026-07-28T22:53:46Z
stages = bptf
seed = 53   n_components = 20   patch_size = 50.0   max_iter = 1000
data_file = data/xenium_mm_final_cell_id.h5ad
output_dir = results/GBM_s53_legacy
patchify = results/GBM_s53_legacy/patchify (built here)
cell_type_column = cell_type   resource = cellchatdb   cellchatdb = /private/tmp/claude-501/-Users-jiayifan-tansey-lab-alarmist/c9bb7632-3fa0-4091-a310-d98997fd8568/scratchpad/CellChatDBv2.0.human.legacy_effective.csv
count_layer = X   glm_backend = torch   glm_device = cpu   gene_tile = 2048
prefilter_spearman = True   glm_dtype = float64
figures = none   network_threshold = [100.0]   viz_network_threshold = 0.0
python = /Users/jiayifan/anaconda3/envs/bptf/bin/python
alarmist_git_commit = 95208de4180946fd4fed77cd3ff594c6114f93e9


>>>> 2026-07-28T22:53:46Z  [bptf] in-process  K=20  max_iter=1000  seed=53  cellchatdb=/private/tmp/claude-501/-Users-jiayifan-tansey-lab-alarmist/c9bb7632-3fa0-4091-a310-d98997fd8568/scratchpad/CellChatDBv2.0.human.legacy_effective.csv
OMP: Info #276: omp_set_nested routine deprecated, please use omp_set_max_active_levels instead.
ITERATION 0:	Time: 0.000000	Objective: -6748902797.49	Change: nan	
  3%|3         | 34/1000 [00:30<14:35,  1.10it/s]ITERATION 35:	Time: 0.898034	Objective: -833777.90	Change: 3.74632e-03	
  4%|3         | 35/1000 [00:31<14:31,  1.11it/s]ITERATION 36:	Time: 0.910692	Objective: -831008.72	Change: 3.32124e-03	
  4%|3         | 36/1000 [00:32<14:33,  1.10it/s]ITERATION 37:	Time: 0.941715	Objective: -828503.28	Change: 3.01494e-03	
  4%|3         | 37/1000 [00:33<14:42,  1.09it/s]ITERATION 38:	Time: 0.904190	Objective: -826176.37	Change: 2.80857e-03	
  4%|3         | 38/1000 [00:34<14:38,  1.10it/s]ITERATION 39:	Time: 0.920088	Objective: -824026.90	Change: 2.60171e-03	
  4%|3         | 39/1000 [00:35<14:39,  1.09it/s]ITERATION 40:	Time: 0.892042	Objective: -822069.78	Change: 2.37507e-03	
  4%|4         | 40/1000 [00:36<14:31,  1.10it/s]ITERATION 41:	Time: 0.955612	Objective: -820298.97	Change: 2.15409e-03	
  4%|4         | 41/1000 [00:37<14:44,  1.08it/s]ITERATION 42:	Time: 0.937358	Objective: -818531.07	Change: 2.15519e-03	
  4%|4         | 42/1000 [00:38<14:48,  1.08it/s]ITERATION 43:	Time: 0.921363	Objective: -816808.64	Change: 2.10429e-03	
  4%|4         | 43/1000 [00:39<14:45,  1.08it/s]ITERATION 44:	Time: 0.973618	Objective: -815318.65	Change: 1.82416e-03	
  4%|4         | 44/1000 [00:40<14:58,  1.06it/s]ITERATION 45:	Time: 0.958350	Objective: -813932.94	Change: 1.69960e-03	
  4%|4         | 45/1000 [00:41<15:02,  1.06it/s]ITERATION 46:	Time: 0.952346	Objective: -812624.24	Change: 1.60787e-03	
  5%|4         | 46/1000 [00:42<15:04,  1.06it/s]ITERATION 47:	Time: 0.963030	Objective: -811409.38	Change: 1.49498e-03	
  5%|4         | 47/1000 [00:42<15:07,  1.05it/s]ITERATION 48:	Time: 0.942018	Objective: -810236.87	Change: 1.44503e-03	
  5%|4         | 48/1000 [00:43<15:03,  1.05it/s]ITERATION 49:	Time: 0.919367	Objective: -809096.72	Change: 1.40718e-03	
  5%|4         | 49/1000 [00:44<14:54,  1.06it/s]ITERATION 50:	Time: 0.914809	Objective: -808061.46	Change: 1.27953e-03	
  5%|5         | 50/1000 [00:45<14:46,  1.07it/s]ITERATION 51:	Time: 0.909459	Objective: -807067.81	Change: 1.22967e-03	
  5%|5         | 51/1000 [00:46<14:38,  1.08it/s]ITERATION 52:	Time: 0.960145	Objective: -806087.10	Change: 1.21515e-03	
  5%|5         | 52/1000 [00:47<14:47,  1.07it/s]ITERATION 53:	Time: 0.918265	Objective: -805197.27	Change: 1.10388e-03	
  5%|5         | 53/1000 [00:48<14:41,  1.07it/s]ITERATION 54:	Time: 0.983251	Objective: -804373.32	Change: 1.02329e-03	
  5%|5         | 54/1000 [00:49<14:55,  1.06it/s]ITERATION 55:	Time: 0.953738	Objective: -803562.30	Change: 1.00826e-03	
  6%|5         | 55/1000 [00:50<14:56,  1.05it/s]ITERATION 56:	Time: 0.979357	Objective: -802840.24	Change: 8.98573e-04	
  6%|5         | 56/1000 [00:51<15:04,  1.04it/s]ITERATION 57:	Time: 0.963547	Objective: -802138.50	Change: 8.74080e-04	
  6%|5         | 57/1000 [00:52<15:05,  1.04it/s]ITERATION 58:	Time: 0.935156	Objective: -801438.01	Change: 8.73271e-04	
  6%|5         | 58/1000 [00:53<14:57,  1.05it/s]ITERATION 59:	Time: 0.921609	Objective: -800746.93	Change: 8.62304e-04	
  6%|5         | 59/1000 [00:54<14:47,  1.06it/s]ITERATION 60:	Time: 0.942747	Objective: -800110.98	Change: 7.94199e-04	
  6%|6         | 60/1000 [00:55<14:46,  1.06it/s]ITERATION 61:	Time: 0.923560	Objective: -799529.60	Change: 7.26625e-04	
  6%|6         | 61/1000 [00:56<14:40,  1.07it/s]ITERATION 62:	Time: 0.942223	Objective: -798974.28	Change: 6.94556e-04	
  6%|6         | 62/1000 [00:57<14:40,  1.07it/s]ITERATION 63:	Time: 0.917153	Objective: -798481.84	Change: 6.16340e-04	
  6%|6         | 63/1000 [00:58<14:33,  1.07it/s]ITERATION 64:	Time: 0.952960	Objective: -798029.13	Change: 5.66967e-04	
  6%|6         | 64/1000 [00:58<14:38,  1.07it/s]ITERATION 65:	Time: 0.940868	Objective: -797566.79	Change: 5.79350e-04	
  6%|6         | 65/1000 [00:59<14:38,  1.06it/s]ITERATION 66:	Time: 0.945274	Objective: -797113.50	Change: 5.68336e-04	
  7%|6         | 66/1000 [01:00<14:39,  1.06it/s]ITERATION 67:	Time: 0.935563	Objective: -796662.83	Change: 5.65382e-04	
  7%|6         | 67/1000 [01:01<14:36,  1.06it/s]ITERATION 68:	Time: 0.919809	Objective: -796242.05	Change: 5.28181e-04	
  7%|6         | 68/1000 [01:02<14:30,  1.07it/s]ITERATION 69:	Time: 0.943466	Objective: -795876.93	Change: 4.58551e-04	
  7%|6         | 69/1000 [01:03<14:32,  1.07it/s]ITERATION 70:	Time: 0.907796	Objective: -795489.93	Change: 4.86256e-04	
  7%|7         | 70/1000 [01:04<14:23,  1.08it/s]ITERATION 71:	Time: 0.907909	Objective: -795127.24	Change: 4.55926e-04	
  7%|7         | 71/1000 [01:05<14:16,  1.08it/s]ITERATION 72:	Time: 0.908989	Objective: -794809.13	Change: 4.00084e-04	
