==============================================================================
ALARMIST  seed=53  K=25  patch=80.0um  ->  results/AIS_LUAD_new
  stages : bptf
  figures: none   data-file: data/linghua/P21_LUAD_Xenium.h5ad
==============================================================================
timestamp_utc = 2026-07-29T00:00:42Z
stages = bptf
seed = 53   n_components = 25   patch_size = 80.0   max_iter = 1000
data_file = data/linghua/P21_LUAD_Xenium.h5ad
output_dir = results/AIS_LUAD_new
patchify = results/AIS_LUAD_new/patchify (built here)
cell_type_column = annotation_coarse   resource = cellchatdb   cellchatdb = data/LRdatabase/CellChatDBv2.0.human.csv
count_layer = X   glm_backend = torch   glm_device = cpu   gene_tile = 2048
prefilter_spearman = True   glm_dtype = float64
figures = none   network_threshold = [100.0]   viz_network_threshold = 0.0
python = /Users/jiayifan/anaconda3/envs/bptf/bin/python
alarmist_git_commit = 95208de4180946fd4fed77cd3ff594c6114f93e9


>>>> 2026-07-29T00:00:42Z  [bptf] in-process  K=25  max_iter=1000  seed=53  cellchatdb=data/LRdatabase/CellChatDBv2.0.human.csv
OMP: Info #276: omp_set_nested routine deprecated, please use omp_set_max_active_levels instead.
ITERATION 0:	Time: 0.000000	Objective: -284773108956.87	Change: nan	
  4%|3         | 35/1000 [14:50<6:43:19, 25.08s/it]ITERATION 36:	Time: 24.725360	Objective: 55438340.62	Change: 2.54840e-03	
  4%|3         | 36/1000 [15:14<6:41:12, 24.97s/it]ITERATION 37:	Time: 24.695356	Objective: 55570508.19	Change: 2.38405e-03	
  4%|3         | 37/1000 [15:39<6:39:28, 24.89s/it]ITERATION 38:	Time: 24.908231	Objective: 55694483.23	Change: 2.23095e-03	
  4%|3         | 38/1000 [16:04<6:39:09, 24.90s/it]ITERATION 39:	Time: 25.145704	Objective: 55810873.66	Change: 2.08980e-03	
  4%|3         | 39/1000 [16:29<6:39:56, 24.97s/it]ITERATION 40:	Time: 25.030820	Objective: 55919726.51	Change: 1.95039e-03	
  4%|4         | 40/1000 [16:54<6:39:49, 24.99s/it]ITERATION 41:	Time: 24.827787	Objective: 56021833.13	Change: 1.82595e-03	
  4%|4         | 41/1000 [17:19<6:38:38, 24.94s/it]ITERATION 42:	Time: 24.698331	Objective: 56117461.65	Change: 1.70699e-03	
  4%|4         | 42/1000 [17:44<6:37:04, 24.87s/it]ITERATION 43:	Time: 24.934140	Objective: 56206584.82	Change: 1.58815e-03	
  4%|4         | 43/1000 [18:09<6:36:58, 24.89s/it]ITERATION 44:	Time: 25.316315	Objective: 56289052.95	Change: 1.46723e-03	
  4%|4         | 44/1000 [18:34<6:38:36, 25.02s/it]ITERATION 45:	Time: 24.823630	Objective: 56364336.29	Change: 1.33744e-03	
  4%|4         | 45/1000 [18:59<6:37:16, 24.96s/it]ITERATION 46:	Time: 24.991460	Objective: 56432578.04	Change: 1.21073e-03	
  5%|4         | 46/1000 [19:24<6:37:00, 24.97s/it]ITERATION 47:	Time: 24.650143	Objective: 56493343.18	Change: 1.07677e-03	
  5%|4         | 47/1000 [19:49<6:35:05, 24.87s/it]ITERATION 48:	Time: 25.480082	Objective: 56547040.04	Change: 9.50499e-04	
  5%|4         | 48/1000 [20:14<6:37:33, 25.06s/it]ITERATION 49:	Time: 24.701051	Objective: 56594192.39	Change: 8.33861e-04	
  5%|4         | 49/1000 [20:39<6:35:27, 24.95s/it]ITERATION 50:	Time: 25.382515	Objective: 56635185.34	Change: 7.24332e-04	
  5%|5         | 50/1000 [21:04<6:37:06, 25.08s/it]ITERATION 51:	Time: 24.576386	Objective: 56670904.29	Change: 6.30685e-04	
  5%|5         | 51/1000 [21:29<6:34:18, 24.93s/it]ITERATION 52:	Time: 24.556161	Objective: 56702411.30	Change: 5.55965e-04	
  5%|5         | 52/1000 [21:53<6:32:07, 24.82s/it]ITERATION 53:	Time: 24.975184	Objective: 56730874.77	Change: 5.01980e-04	
  5%|5         | 53/1000 [22:18<6:32:27, 24.87s/it]ITERATION 54:	Time: 24.926920	Objective: 56756687.93	Change: 4.55011e-04	
  5%|5         | 54/1000 [22:43<6:32:20, 24.88s/it]ITERATION 55:	Time: 25.553544	Objective: 56779994.43	Change: 4.10639e-04	
  6%|5         | 55/1000 [23:09<6:35:05, 25.09s/it]ITERATION 56:	Time: 24.769879	Objective: 56801364.77	Change: 3.76371e-04	
  6%|5         | 56/1000 [23:33<6:33:11, 24.99s/it]ITERATION 57:	Time: 24.948629	Objective: 56821162.99	Change: 3.48552e-04	
  6%|5         | 57/1000 [23:58<6:32:34, 24.98s/it]ITERATION 58:	Time: 24.683061	Objective: 56839520.88	Change: 3.23082e-04	
  6%|5         | 58/1000 [24:23<6:30:46, 24.89s/it]ITERATION 59:	Time: 24.530490	Objective: 56856699.15	Change: 3.02224e-04	
  6%|5         | 59/1000 [24:48<6:28:40, 24.78s/it]ITERATION 60:	Time: 24.638664	Objective: 56872885.94	Change: 2.84695e-04	
  6%|6         | 60/1000 [25:12<6:27:35, 24.74s/it]ITERATION 61:	Time: 24.594905	Objective: 56888277.85	Change: 2.70637e-04	
  6%|6         | 61/1000 [25:37<6:26:30, 24.70s/it]ITERATION 62:	Time: 24.547871	Objective: 56903074.56	Change: 2.60101e-04	
  6%|6         | 62/1000 [26:01<6:25:24, 24.65s/it]ITERATION 63:	Time: 22.790712	Objective: 56917081.62	Change: 2.46156e-04	
  6%|6         | 63/1000 [26:24<6:16:16, 24.09s/it]ITERATION 64:	Time: 24.576713	Objective: 56930437.51	Change: 2.34655e-04	
  6%|6         | 64/1000 [26:49<6:18:07, 24.24s/it]ITERATION 65:	Time: 24.676461	Objective: 56943049.25	Change: 2.21529e-04	
  6%|6         | 65/1000 [27:13<6:19:46, 24.37s/it]ITERATION 66:	Time: 24.716257	Objective: 56954732.42	Change: 2.05173e-04	
  7%|6         | 66/1000 [27:38<6:20:59, 24.47s/it]ITERATION 67:	Time: 24.336305	Objective: 56966048.46	Change: 1.98685e-04	
  7%|6         | 67/1000 [28:03<6:19:56, 24.43s/it]ITERATION 68:	Time: 22.667751	Objective: 56977070.12	Change: 1.93478e-04	
  7%|6         | 68/1000 [28:25<6:11:18, 23.90s/it]ITERATION 69:	Time: 24.530117	Objective: 56987345.07	Change: 1.80335e-04	
  7%|6         | 69/1000 [28:50<6:13:49, 24.09s/it]ITERATION 70:	Time: 22.544150	Objective: 56997284.88	Change: 1.74421e-04	
  7%|7         | 70/1000 [29:12<6:06:14, 23.63s/it]ITERATION 71:	Time: 24.688543	Objective: 57006948.51	Change: 1.69545e-04	
  7%|7         | 71/1000 [29:37<6:10:46, 23.95s/it]ITERATION 72:	Time: 22.166575	Objective: 57016222.97	Change: 1.62690e-04	
  7%|7         | 72/1000 [29:59<6:02:07, 23.41s/it]ITERATION 73:	Time: 24.566145	Objective: 57025039.05	Change: 1.54624e-04	
  7%|7         | 73/1000 [30:24<6:07:04, 23.76s/it]ITERATION 74:	Time: 24.360537	Objective: 57033609.34	Change: 1.50290e-04	
  7%|7         | 74/1000 [30:48<6:09:28, 23.94s/it]ITERATION 75:	Time: 24.314371	Objective: 57041992.71	Change: 1.46990e-04	
  8%|7         | 75/1000 [31:12<6:10:48, 24.05s/it]ITERATION 76:	Time: 22.557963	Objective: 57049904.56	Change: 1.38702e-04	
  8%|7         | 76/1000 [31:35<6:03:30, 23.60s/it]ITERATION 77:	Time: 24.431924	Objective: 57057563.00	Change: 1.34241e-04	
  8%|7         | 77/1000 [31:59<6:06:56, 23.85s/it]ITERATION 78:	Time: 22.508444	Objective: 57065064.37	Change: 1.31470e-04	
  8%|7         | 78/1000 [32:22<6:00:20, 23.45s/it]ITERATION 79:	Time: 24.732159	Objective: 57072302.96	Change: 1.26848e-04	
  8%|7         | 79/1000 [32:47<6:05:51, 23.83s/it]ITERATION 80:	Time: 22.168689	Objective: 57079429.36	Change: 1.24866e-04	
  8%|8         | 80/1000 [33:09<5:57:48, 23.34s/it]ITERATION 81:	Time: 24.412719	Objective: 57086301.92	Change: 1.20403e-04	
  8%|8         | 81/1000 [33:33<6:02:22, 23.66s/it]ITERATION 82:	Time: 24.111802	Objective: 57092821.36	Change: 1.14203e-04	
  8%|8         | 82/1000 [33:57<6:04:03, 23.80s/it]ITERATION 83:	Time: 22.547720	Objective: 57098969.03	Change: 1.07678e-04	
  8%|8         | 83/1000 [34:20<5:57:57, 23.42s/it]ITERATION 84:	Time: 24.178816	Objective: 57104859.36	Change: 1.03160e-04	
  8%|8         | 84/1000 [34:44<6:01:02, 23.65s/it]ITERATION 85:	Time: 23.234320	Objective: 57110482.33	Change: 9.84675e-05	
  8%|8         | 84/1000 [35:07<6:23:04, 25.09s/it]
results/AIS_LUAD_new/bptf/bptf_1.npz
>>>> bptf -> results/AIS_LUAD_new/bptf

==== DONE  2026-07-29T00:39:16Z  ->  results/AIS_LUAD_new ====
  compute : patchify/ bptf/ project/ markers/ glm/ motif_states.parquet
  figures : plots_original/ (original)   plots/ (workflow)
  colours : celltype_colors.json + celltype_colors.{png,pdf,svg}
